txt_id,sen_ix,sentence,label_seq,pos_seq,labeled_sentence,genre
fet-fragment01,20,He had trouble finding an appropriate language for the painter 's obsession with the illuminated material world .,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]","['PRON', 'VERB', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'NOUN', 'PUNCT']",He M_had trouble M_finding an appropriate language for the painter 's obsession M_with the M_illuminated material M_world .,fiction
bpa-fragment14,2187,"And yet he 'd disappeared , without trace .","[0, 0, 0, 0, 0, 0, 1, 0, 0]","['CCONJ', 'ADV', 'PRON', 'VERB', 'VERB', 'PUNCT', 'ADP', 'NOUN', 'PUNCT']","And yet he 'd disappeared , M_without trace .",fiction
kbw-fragment04,2395,Why did n't you want to buy the same one again mum ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ADV', 'VERB', 'ADV', 'PRON', 'VERB', 'PART', 'VERB', 'DET', 'ADJ', 'NUM', 'ADV', 'ADJ', 'PUNCT']",Why did n't you want to buy the same one again mum ?,conversation
c8t-fragment01,17,"It was a substantial , two-storey , L-shaped house standing to the east of the track with walls partly flint and partly rendered , enclosing at the rear a courtyard of York stone which gave an uninterrupted view over fifty yards of scrub to the grassy dunes and the sea .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRON', 'VERB', 'DET', 'ADJ', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADV', 'VERB', 'CCONJ', 'ADV', 'VERB', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'ADJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'PUNCT']","It was a substantial , two-storey , L-shaped house M_standing to the east of the track with walls partly flint and partly rendered , enclosing at the rear a courtyard of York stone which M_gave an uninterrupted view over fifty yards of scrub to the grassy dunes and the sea .",fiction
a2d-fragment05,34,"Now , however , it seems , the wheel has turned full circle .","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]","['ADV', 'PUNCT', 'ADV', 'PUNCT', 'PRON', 'VERB', 'PUNCT', 'DET', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN', 'PUNCT']","Now , however , it seems , the M_wheel has M_turned M_full M_circle .",news
kbd-fragment07,2711,"They 've been to his little boy 's primary school , interviewed the teachers and headmistress and all the school friends and everything just trying to get a dirty story .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","['PRON', 'VERB', 'VERB', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'PART', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'ADJ', 'DET', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADV', 'VERB', 'PART', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","They 've been to his little boy 's primary school , interviewed the teachers and headmistress and all the school friends and everything just trying to M_get a M_dirty M_story .",conversation
kcv-fragment42,4641,Isobel wants,"[0, 0]","['PROPN', 'VERB']",Isobel wants,conversation
cdb-fragment02,361,They were expensive to buy and came a day late .,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['PRON', 'VERB', 'ADJ', 'PART', 'VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADV', 'PUNCT']",They were expensive to buy and M_came a day late .,fiction
ahf-fragment63,1226,"Sir David English was not informed of the visit and in consequence had no plans to attend the Ideal Home Exhibition that day , the official statement announced .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","['PROPN', 'PROPN', 'PROPN', 'VERB', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'PROPN', 'PROPN', 'NOUN', 'DET', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'VERB', 'PUNCT']","Sir David English was not informed of the visit and M_in consequence M_had no M_plans to attend the Ideal Home Exhibition M_that day , the official statement M_announced .",news
amm-fragment02,1664,"The outline of the soft parts are also clearly displayed , so that the animal has been preserved almost in frozen motion .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADV', 'VERB', 'PUNCT', 'ADP', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADV', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","The outline of the soft parts are also clearly displayed , so that the animal has been preserved almost M_in M_frozen motion .",academic
a1f-fragment10,179,"Given the already appalling and growing rate of homelessness and lack of hostel facilities in London , when more people than ever will not only have to endure the freezing nights of the coming winter on the streets , but perhaps permanent homelessness , it was terrible to see the situation being exploited for a joke by your advertisement : Just the thing now the evenings are drawing in .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","['VERB', 'DET', 'ADV', 'ADJ', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'ADV', 'ADJ', 'NOUN', 'ADP', 'ADV', 'VERB', 'ADV', 'ADV', 'VERB', 'PART', 'VERB', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADJ', 'PART', 'VERB', 'DET', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'DET', 'NOUN', 'ADV', 'DET', 'NOUN', 'VERB', 'VERB', 'ADV', 'PUNCT']","Given the already appalling and growing rate of homelessness and lack of hostel facilities in London , when more people than ever will not only have to endure the freezing nights of the coming winter on the streets , but perhaps permanent homelessness , it was terrible to see the M_situation being M_exploited for a joke by your advertisement : Just the M_thing now the evenings are M_drawing M_in .",news
fpb-fragment01,1207,"Elinor was sometimes at a loss for the right word , or name , and then became impatient with herself ; she was often frustrated because she could n't move as swiftly as she did before .","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'VERB', 'ADJ', 'ADP', 'PRON', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'PRON', 'VERB', 'ADV', 'VERB', 'ADV', 'ADV', 'ADP', 'PRON', 'VERB', 'ADV', 'PUNCT']","Elinor was sometimes M_at a M_loss for the right word , or name , and then became impatient M_with herself ; she was often frustrated because she could n't move as swiftly as she did M_before .",fiction
b1g-fragment02,1091,"Fortunately , technical developments have ensured that the increase in computing power per unit cost has been growing at about an order of magnitude every 6 years over the last three decades .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ADV', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NUM', 'NOUN', 'ADP', 'DET', 'ADJ', 'NUM', 'NOUN', 'PUNCT']","Fortunately , technical developments have ensured that the increase in computing power per unit cost has been growing at about an order of magnitude every 6 years over the last three decades .",academic
g0l-fragment01,377,He laughed .,"[0, 0, 0]","['PRON', 'VERB', 'PUNCT']",He laughed .,fiction
kbw-fragment17,6281,and it does mean that they can relax you know about work and everything,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","['CCONJ', 'PRON', 'VERB', 'VERB', 'ADP', 'PRON', 'VERB', 'VERB', 'PRON', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN']",and it does M_mean that they can M_relax you know M_about work and everything,conversation
kb7-fragment10,2253,"You know I mean other than that , no I mean it it 's not as if","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRON', 'VERB', 'PRON', 'VERB', 'ADJ', 'ADP', 'DET', 'PUNCT', 'INTJ', 'PRON', 'VERB', 'PRON', 'PRON', 'VERB', 'ADV', 'ADP', 'ADP']","You know I mean other than M_that , no I mean it it 's not as if",conversation
fpb-fragment01,1371,"She was in hospital for six weeks , and I was the only one who knew it was n't an accident .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRON', 'VERB', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'DET', 'ADJ', 'NUM', 'NOUN', 'VERB', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'PUNCT']","She was in hospital for six weeks , and I was the only one who knew it was n't an accident .",fiction
clp-fragment01,745,Task analysis has not and can not be reduced to a set of standardised procedures which the aspiring analyst could acquire in a formal training course .,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]","['NOUN', 'NOUN', 'VERB', 'ADV', 'CCONJ', 'VERB', 'ADV', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'DET', 'VERB', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']",Task analysis has not and can not be M_reduced M_to a set of standardised procedures which the aspiring analyst could M_acquire M_in a M_formal M_training M_course .,academic
a7y-fragment03,203,It was surely repugnant to commonsense that in this area of legal activity a local authority should be prosecuted by one of its tenants without first being given the opportunity by that tenant to remedy the consequences of a neglect to repair the dwelling that the tenant occupied .,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'VERB', 'DET', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'DET', 'ADJ', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADP', 'NUM', 'ADP', 'ADJ', 'NOUN', 'ADP', 'ADV', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']",It was surely repugnant M_to commonM_sense that M_in M_this M_area of legal activity a local authority should be prosecuted by one of its tenants M_without first being M_given the opportunity by that tenant to remedy the consequences of a neglect to repair the dwelling that the tenant occupied .,news
g0l-fragment01,218,They did n't want the Yanks stumbling in and screwing up in an attempt to force the issue .,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]","['PRON', 'VERB', 'ADV', 'VERB', 'DET', 'PROPN', 'VERB', 'ADP', 'CCONJ', 'VERB', 'PART', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'PUNCT']",They did n't want the Yanks M_stumbling M_in and M_screwing M_up M_in an attempt to M_force the issue .,fiction
kcf-fragment14,1434,And do n't forget we 're going down the fracture clinic Alison !,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['CCONJ', 'VERB', 'ADV', 'VERB', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PROPN', 'PUNCT']",And do n't forget we 're going M_down the fracture clinic Alison !,conversation
cb5-fragment02,3261,"I 'm afraid it 's true , Mrs Carson told them .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRON', 'VERB', 'ADJ', 'PRON', 'VERB', 'ADJ', 'PUNCT', 'PROPN', 'PROPN', 'VERB', 'PRON', 'PUNCT']","I 'm afraid it 's true , Mrs Carson told them .",fiction
kbw-fragment04,2695,You 're going to watch Rosie and Jim dear .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRON', 'VERB', 'VERB', 'PART', 'VERB', 'PROPN', 'CCONJ', 'PROPN', 'NOUN', 'PUNCT']",You 're going to watch Rosie and Jim dear .,conversation
kbh-fragment02,236,"Charlotte please do n't talk with your mouth full , there 's a good girl .","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PROPN', 'INTJ', 'VERB', 'ADV', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'PUNCT', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","Charlotte please do n't talk M_with your mouth full , there 's a good girl .",conversation
kbw-fragment42,14920,"When we 've had half a whole , I 'm thinking half a whole","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ADV', 'PRON', 'VERB', 'VERB', 'ADJ', 'DET', 'NOUN', 'PUNCT', 'PRON', 'NOUN', 'VERB', 'ADJ', 'DET', 'NOUN']","When we 've had half a whole , I 'm thinking half a whole",conversation
ea7-fragment03,846,He became Robert of Jerusalem to his contemporaries ; his deeds were recorded in the Song of Antioch ; his pious bravery totally expunged the memory of Robert the Frisian 's usurpation ; and after his death his son Baldwin VII harped on his father 's achievement to justify his substantial use of coercion against the enemies of the church .,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['PRON', 'VERB', 'PROPN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'DET', 'PROPN', 'PART', 'NOUN', 'PUNCT', 'CCONJ', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PART', 'NOUN', 'PART', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",He became Robert of Jerusalem M_to his contemporaries ; his deeds were recorded M_in the Song of Antioch ; his pious bravery totally M_expunged the memory of Robert the Frisian 's usurpation ; and M_after his death his son Baldwin VII M_harped M_on his father 's achievement to justify his substantial use of coercion M_against the enemies of the church .,academic
ab9-fragment03,986,"You are letting this disappointment and that 's all it is , you 're still a very well-off young woman get in the way of everything .","[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]","['PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'CCONJ', 'DET', 'VERB', 'DET', 'PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'ADV', 'DET', 'ADV', 'PART', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","You are M_letting M_this disappointment and M_that 's all it is , you 're still a very well-off young woman M_get M_in the M_way of everything .",fiction
fet-fragment01,79,Under his arm he carried a folded newspaper with that day 's headline : PEACE MOTHER DIES .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","['ADP', 'ADJ', 'NOUN', 'PRON', 'VERB', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'VERB', 'PUNCT']",Under his arm he carried a folded newspaper with M_that day 's headline : PEACE M_MOTHER DIES .,fiction
kcv-fragment42,4497,Eating eating all day long overlap,"[0, 0, 0, 0, 0, 0]","['VERB', 'VERB', 'DET', 'NOUN', 'ADJ', 'NOUN']",Eating eating all day long overlap,conversation
fpb-fragment01,1101,You never want to make a man the centre of your existence .,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","['PRON', 'ADV', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",You never want to M_make a man the M_centre of your existence .,fiction
b1g-fragment02,1157,"In these circumstances , it is scarcely surprising that there is evidence of international and interdisciplinary dispute , as Terney ( 1989 ) has chronicled in regard to IGBP .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'ADV', 'VERB', 'NOUN', 'ADP', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'VERB', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","In these circumstances , it is scarcely surprising that there is evidence of international and interdisciplinary dispute , as Terney ( 1989 ) has chronicled in regard to IGBP .",academic
clp-fragment01,762,Those not involved find it difficult to gain very much from a presentation of a task description .,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['DET', 'ADV', 'VERB', 'VERB', 'PRON', 'ADJ', 'PART', 'VERB', 'ADV', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']",M_Those not involved M_find it difficult to M_gain very much M_from a presentation of a task description .,academic
kb7-fragment10,2148,"I mean I did have some of the boxes in there until I sort of , thought while I was sorting things out .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","['PRON', 'VERB', 'PRON', 'VERB', 'VERB', 'DET', 'ADP', 'DET', 'NOUN', 'ADP', 'ADV', 'ADP', 'PRON', 'ADV', 'ADV', 'PUNCT', 'VERB', 'ADP', 'PRON', 'VERB', 'VERB', 'NOUN', 'PART', 'PUNCT']","I mean I did have some of the boxes in there until I sort of , thought while I was M_sorting things M_out .",conversation
ac2-fragment06,1507,But I can understand how you feel .,"[0, 0, 0, 0, 0, 0, 1, 0]","['CCONJ', 'PRON', 'VERB', 'VERB', 'ADV', 'PRON', 'VERB', 'PUNCT']",But I can understand how you M_feel .,fiction
c8t-fragment01,40,"It was , he judged , almost twenty feet long and obviously served the triple purpose of sitting room , working place and office .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PUNCT', 'ADV', 'NUM', 'NOUN', 'ADJ', 'CCONJ', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']","It was , he judged , almost twenty feet long and obviously M_served the triple purpose of sitting room , working place and office .",fiction
c8t-fragment01,48,"Was it the faint smell of herbs and newly baked dough , the soft ticking of the wall-mounted clock which seemed both to mark the passing seconds and yet to hold time in thrall , the rhythmic moaning of the sea through the half-open door , the sense of well-fed ease conveyed by the two cushioned armchairs , the open hearth ?","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['VERB', 'PRON', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'ADJ', 'VERB', 'DET', 'PART', 'VERB', 'DET', 'VERB', 'NOUN', 'CCONJ', 'ADV', 'PART', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'VERB', 'ADP', 'DET', 'NUM', 'VERB', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'PUNCT']","Was it the M_faint smell of herbs and newly baked dough , the M_soft ticking of the M_wall-mounted clock which seemed both to M_mark the M_passing seconds and yet to M_hold time M_in thrall , the rhythmic M_moaning of the sea through the half-open door , the sense of M_well-fed ease M_conveyed by the two cushioned armchairs , the open hearth ?",fiction
