text_idx,sentence_idx,verb,sentence,verb_idx,label
fet-fragment01,79,carry,Under his arm he carried a folded newspaper with that day 's headline : PEACE MOTHER DIES .,4,0
kcv-fragment42,4497,overlap,Eating eating all day long overlap,5,0
fpb-fragment01,1101,want,You never want to make a man the centre of your existence .,2,0
b1g-fragment02,1157,chronicle,"In these circumstances , it is scarcely surprising that there is evidence of international and interdisciplinary dispute , as Terney ( 1989 ) has chronicled in regard to IGBP .",24,0
clp-fragment01,762,involve,Those not involved find it difficult to gain very much from a presentation of a task description .,2,0
kb7-fragment10,2148,mean,"I mean I did have some of the boxes in there until I sort of , thought while I was sorting things out .",1,0
ac2-fragment06,1507,feel,But I can understand how you feel .,6,1
c8t-fragment01,40,judge,"It was , he judged , almost twenty feet long and obviously served the triple purpose of sitting room , working place and office .",4,0
c8t-fragment01,48,hold,"Was it the faint smell of herbs and newly baked dough , the soft ticking of the wall-mounted clock which seemed both to mark the passing seconds and yet to hold time in thrall , the rhythmic moaning of the sea through the half-open door , the sense of well-fed ease conveyed by the two cushioned armchairs , the open hearth ?",30,1
a1n-fragment18,345,take,"Had either of the teams won , they would have taken the League leadership .",10,1
a7s-fragment03,67,see,"He described being taken over the years to see his sick , and finally dying and almost certainly innocent father in another prison .",8,0
kbw-fragment42,15064,daddy,daddy,0,0
cb5-fragment02,3198,prepare,She sat down and prepared to wait as long as was necessary .,4,0
ahc-fragment60,1246,cease,"A mile above the shepherd 's hut the hillsides ceased their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road , hidden deep in the folds of the moors .",9,1
amm-fragment02,1642,turn,"It turns out that our animal was able to see in almost every direction upwards , downwards , sideways and forwards , and even backwards , because the eyes bulged out beyond the line of the rest of the body .",1,1
a1h-fragment05,75,find,"Like many young American composers he studied with Nadia Boulanger , but after 1925 set out to achieve the discipline of spontaneity which he found in Stein 's writings .",24,1
fpb-fragment01,1086,seem,"As Gilda held out her glass to be refilled , she added reflectively , Although you seem more lonely than horny .",16,0
b1g-fragment02,1093,set,"Moreover , the advent of low-cost , high-density-storage devices like CD-ROMs may well make substantial data sets available even to those with modest computing power : a CD-ROM , for instance , can hold about 600 megabytes ( i.e. 10&sup6 ; bytes ) , can be reproduced currently for about Ã¥Â£1 and read on a device costing about Ã¥Â£400 .",16,0
ahb-fragment51,752,think,"We want everyone to be licensed , but the Government did n't think it necessary .",12,1
kbw-fragment42,14782,matter,It does n't matter what ?,3,0
a1g-fragment26,389,include,"DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West , including some who missed by only a few minutes a train that took more than 800 of their compatriots to West Germany .",20,0
ac2-fragment06,1424,know,He does n't know the inside track any more than Klepner .,3,0
a4d-fragment02,111,state,"However , Caithness himself stated that this first selection was in no way a definitive list",4,0
kbp-fragment09,3773,sit,You could feel the atmosphere when you were sat in the car .,8,0
kbh-fragment02,274,catch,"Catch it , one two three catch it , one two three .",0,0
kbp-fragment09,3901,think,I thought,1,0
c8t-fragment01,42,hold,In the centre of the room was a large wooden table holding a stoneware jar of dried flowers .,11,1
bpa-fragment14,2179,provide,"Nell would never rest until she could get closer to confirm her worst suspicions , and paradoxically it was the woman in her that provided the intensity of emotion that would let nothing stand in her way .",24,0
kbw-fragment04,2632,hear,It 's just that I can actually hear it .,7,0
a8n-fragment19,320,float,"Oldham took up the attack again and Barlow , who had a fine match at left-back , totally containing Rocastle , floated in a deep cross beyond Winterburn .",21,1
ac2-fragment06,1394,discuss,"Notwithstanding current problems which they discussed lightly , it had all been wonderful .",5,0
ahb-fragment51,705,rent,Property : Do n't let yourself in for trouble Choosing the right agent is essential if you want to rent your property .,19,0
b1g-fragment02,1532,draw,"First , attention should be drawn to the new directive from the Department of Health to regional and district health authorities to review the health of the population .",5,1
as6-fragment02,387,remain,"But the concern with overcoming political marginality remained on the sidelines of the main public debate because it questioned the perception of the rioters as driven by irrational , uncivilized , and criminal instincts .",7,1
kbw-fragment11,4197,say,And she said he has to go trotting to Exeter two or three times a week now .,2,0
ccw-fragment03,1671,glanced,He glanced at the paint pot and brush that I was still holding .,1,0
b1g-fragment02,1061,obviate,No other data collection methodology obviates the short distance variation in data sets induced by variations in data collection and aggregation methodology typically encountered between adjacent nation states .,5,0
b1g-fragment02,1018,lead,"The unavoidable reliance upon existing data sets led to many problems due to non-harmonization even of commonly used variables , e.g. eight different definitions of potential evapo-transpiration were in use in the Member States and maximum temperature at each weather station was defined in at least four different ways ;",7,0
ahf-fragment24,586,await,"Meadowell has even discovered a new martyr in the shape of one Willy Hunter , a local hard nut awaiting trial for murder , and allegedly the victim of a police frame-up .",19,0
kbd-fragment07,2293,need,Oh I need some,2,0
kbw-fragment04,2468,make,Why they keep on making new bulbs ?,4,1
kbh-fragment02,159,need,What else do I need ?,4,0
kbw-fragment11,4112,tell,I 've told you what we 're gon na for Christopher have n't I ?,2,0
kbc-fragment13,5876,get,Well well he has n't got a father so he regards you does n't he ?,5,1
ab9-fragment03,1014,come,"Francis Morgan stood and stared at them , and even before the man stepped forward steadily , hand extended , mouth opening to speak , he understood who they were and what they had come to tell him .",34,0
fpb-fragment01,1215,sound,The doorbell sounded .,2,0
as6-fragment02,387,drive,"But the concern with overcoming political marginality remained on the sidelines of the main public debate because it questioned the perception of the rioters as driven by irrational , uncivilized , and criminal instincts .",25,1
kbp-fragment09,3673,think,I thought it would be,1,0
ac2-fragment06,1469,come,The only thing you can be sure of is that US interest will always come first .,14,1
alp-fragment01,94,assist,Probably the best illustration of the assisting method in action during the course comes in the fifth session when Somerset practitioners take the logic of working with the problem in the community to its ultimate conclusion .,6,0
ab9-fragment03,1013,set,"The man , a stocky , greying fifty-year-old in a navy raincoat over a suit , his hair cut short , was attended by a uniformed policewoman , hair smartly set under the cap , her eyes watchful in the wide , flat , placid face , and both of them were standing square and stolid .",30,0
g0l-fragment01,48,look,"Sorge looked round the table , saw their undisguised curiosity .",1,0
ea7-fragment03,836,offer,They offered opportunities for men of skill to acquire great position in the world Arnoul of Ardres caught the eye of Countess Ida of Boulogne through his exploits ; and they also conferred lustre on the great Geoffrey le Bel and Philip of Alsace were throughout France for their distinguished performances in these show battles .,1,1
ahb-fragment51,725,promise,"Last week he promised to supply us with a written explanation of the way his company had treated Debbie , but it never arrived .",3,0
kbw-fragment17,5989,get,Cos we 've got the AGM in two weeks time,3,1
kbc-fragment13,6004,live,Well I reckon she lived er a couple of years after the stroke Gordon .,4,0
kbp-fragment09,3851,calm,"But now yeah it took him a while to calm down but he 's a very nice fellow now , very nice chap .",9,0
kbp-fragment09,4105,drawing,"Drawing , oh well !",0,1
kcf-fragment14,1283,put,"Yeah but , I mean , people are allowed now to put their own in are n't they ?",11,0
al0-fragment06,184,break,"Since 1986 Rytasha has broken awayfrom her guru and set up on her own with a charity called Food Relief International , which raises money from the fiercely competitive matrons of Palm Beach and distributes it to the starving people of Bangladesh .",4,1
ea7-fragment03,820,bestow,"A royal banner now bestowed respectability on a cause ; kings ' wars were assumed to be for the sake of peace , even when cripplingly expensive and increasingly savage .",4,1
cdb-fragment02,456,lie,"The house that when he first saw it had seemed to float on a raft of golden mist , now lay in a wilderness , amidst ragged grass and straggling bushes and trees dead from the heat .",20,1
crs-fragment01,6,encounter,This chapter is an account of the way they perceived attempts to develop integrated provision for under fives and the barriers in attitudes and systems which were encountered .,27,1
as6-fragment01,12,need,"The 1964 Labour Government was elected on a tide of impatience at the slackening pace of social reform , but also of optimism that little more than economic growth , fuelled by technological change , was needed to remove the main causes of urban deprivation ( MacGregor , 1981 ) .",36,0
fpb-fragment01,1180,give,"After being given clearance to land , Miranda , following her instructor 's directions , started her approach ; she throttled back to reduce speed and control her descent as she flew towards the threshold the point just before she intended to touch down .",2,1
cb5-fragment02,3376,promise,I promise .,1,0
a1f-fragment06,144,ignore,"Sir : I was interested by your juxtaposition of Poll predicts 42-seat majority for Labour with Tories hold on ( 30 September ) , the latter referring , of course , to the Conservative victory in Wandsworth , the significance of which appears to have been almost totally ignored by the media .",48,0
kbd-fragment07,2260,go,Anything goes fast after Friday .,1,1
a8r-fragment02,56,become,The process becomes demand driven by the user .,2,0
a1n-fragment18,363,walk,"Davis , of course , would have walked into England 's team in Poland a week on Wednesday ; until last season 's prolonged suspension , followed by injury , Bobby Robson had him firmly pencilled in as Bryan Robson 's replacement .",7,1
cdb-fragment02,403,alert,The Suffolk police had begun hunting up previous owners of Wyvis Hall and they had been alerted that a Verne-Smith lived in their area .,16,0
fpb-fragment01,1222,take,"She says the Colonel 's taken up petit point , and Miss Hawkins is teaching him .",5,0
a1e-fragment01,3,seems,"IT SEEMS that Roland Franklin , the latest unbundler to appear in the UK , has made a fatal error in the preparation of his Ã¥Â£697m break-up bid for stationery and packaging group DRG .",1,0
bpa-fragment14,2244,owe,I think we owe it to that pathetic creature in there .,3,1
b1g-fragment02,1193,subdivide,Each of these may be further subdivided and the typology shown in Fig. 10.1 draws upon the classic work of Burton and Kates ( 1964 ) in separating geophysical from biological hazards and Zeigler et al. ( 1983 ) in distinguishing public ( or what we might call societal ) hazards from private ( individual ) ones .,6,0
a7s-fragment03,51,assume,You might have assumed this was the police bluffing and bullying .,3,1
kbj-fragment17,1525,get,Have you got,2,0
as6-fragment01,30,heated,"This mixture , heated by recession and high unemployment , inevitably generates a high level of crime .",3,1
cb5-fragment02,3222,leave,"There 's Sean O'Farrell and the master left in a hurry this hour past for New York City , both without a bite inside them and now you .",7,0
fet-fragment01,8,spread,"He sat down and saw a bifurcated path , simmering with gold heat round and under the rising , spreading blue-black-green down-pointing vanes of a great pine , still widening where the frame interrupted its soaring .",19,1
b1g-fragment02,1431,model,Additional algorithms are used to model total building damage costs for each grid cell based on water-depth and speed-depth rating curves .,5,0
a9j-fragment01,39,regard,"Its significance lies in its double message : that the aim of the Palestinian struggle is the establishment of Palestinian independence , and that this independence is regarded as being not at Israel 's expense .",27,1
kcu-fragment02,1576,get,You do n't get nothing on them chickens ?,3,0
a2d-fragment05,37,reject,"The John Wayne stereotype was rejected , along with his conservative values , he said .",5,0
amm-fragment02,1755,wallow,"Most of the popular books showing the Mesozoic giants in their natural setting portray them wallowing about in swamps flanked by deep vegetation , their bodies largely under water .",15,0
a3c-fragment05,228,call,The people of Munich call their version of Weissbier breakfast beer and have it with a pair of coddled veal sausages .,4,0
clp-fragment01,885,provide,"Often the manual has to be provided hurriedly at the end of a project when the budget is running out , and it is regarded as a tiresome chore still required after the essential design work has been completed .",6,0
kbw-fragment17,6209,know,But her mum I mean I know,6,0
acj-fragment01,5,cause,"For practical purposes , the culpable causing of another person 's death may fairly be regarded as the most serious offence in the criminal calendar .",6,0
kbp-fragment09,3844,turn,"Cup of tea , turn the car round and go back .",4,0
kbw-fragment17,6285,worry,Yeah have n't got to worry .,5,1
kbh-fragment02,119,say,"Listen , go away She does n't say go away very much now .",7,0
g0l-fragment01,302,stop,They never stopped being Germans .,2,1
a1x-fragment03,158,spread,This problem has spread to the UK .,3,1
kbw-fragment42,14937,eat,"Seemed to have got rather a lot of margarine on there , hope you 're going to eat all your toast today , not like yesterday",17,0
bpa-fragment14,2154,fall,"Delaney took risks , plummeting feet first through the hatchways , and partly breaking his descent with the handrails , falling like a parachutist , rolling instantly deploying his Uzi against",20,0
b1g-fragment02,1502,term,"For instance , Lioy and Daisey ( 1987 ) , in their work on the monitoring of toxic air pollution in New Jersey , construct what they term a microinventory for each of three towns , comprising the locations of chemical plants , metal processing plants , paint spray manufacturers and so on .",27,0
a1h-fragment06,126,organise,FISA was then a relatively unimportant body which organised European and other championships and participated in the running of Olympic regattas .,8,1
kcf-fragment14,1438,forget,has n't forgotten that .,2,0
b1g-fragment02,1254,cover,"The very narrow emergency planning zones contrast with those in the USA ( Collins 1981 ) , where planning is required up to 16 km from the site to cover exposure to radiation plumes .",29,0
ea7-fragment03,836,catch,They offered opportunities for men of skill to acquire great position in the world Arnoul of Ardres caught the eye of Countess Ida of Boulogne through his exploits ; and they also conferred lustre on the great Geoffrey le Bel and Philip of Alsace were throughout France for their distinguished performances in these show battles .,17,1
amm-fragment02,1757,submerge,Because their nasal openings were on the top of their heads they could even continue to breathe if it became necessary ( see p. 115 ) to totally submerge .,28,0
kbh-fragment01,51,put,"Well do n't put it on too loud , will you ?",3,1
kbd-fragment07,2536,mind,Mind you,0,0
clp-fragment01,807,use,"Some peaks of demand can be dealt with by using consultants , but they tend to be expensive and do not always fit well with ill-defined but important factors such as the favoured style of the organisation .",9,1
al2-fragment23,255,say,"Michael Freeman , the solicitor who advised the members on court action , said yesterday : This will cause the most dreadful hardship .",13,0
kbw-fragment04,2576,get,You 'll have to get to know is he in your ?,4,0
alp-fragment01,84,aim,"In the first group session the counselling method is registered in the course tutor 's notes ( Menary , 1986 ) by the explanation : This session aims to get participants to consider the subject of alcohol in ways they had not thought of in the past ( p. 3 ) .",27,1
as6-fragment01,41,evolve,"As a consequence an underclass was evolving football hooligans , muggers , inner city rioters somewhat more frightening than their Dickensian forebears because they were mobile and all too visible .",6,1
kcv-fragment42,4257,stand,Move in there but let her stand,6,0
kbp-fragment09,3948,move,"and he claims to be er able to move things and do the poltergeist stunt , you know ?",8,0
c8t-fragment01,27,ring,He rang and there was only a short delay before Alice Mair opened the door .,1,0
bpa-fragment14,2236,hold,"She flushed , but held on to the phone .",4,0
alp-fragment01,71,drink,"You will be expected to keep a drink diary throughout the course , and make attempts at reducing the amount you drink if it is greater than accepted healthy drinking levels .",7,0
kcu-fragment02,1492,turn,Right on top of him and it turned round and smacked,7,0
as6-fragment02,364,publish,"The need to support the police was accepted by both the Labour and the Conservative speakers in the parliamentary debate on the riots , and was established as a benchmark for the official response to the riots long before the Scarman Report was published in November 1981 .",43,0
bpa-fragment14,2185,wonder,He kept wondering how it had got Silk .,2,0
ajf-fragment07,223,reward,And virtue is rewarded .,3,1
ea7-fragment03,836,confer,They offered opportunities for men of skill to acquire great position in the world Arnoul of Ardres caught the eye of Countess Ida of Boulogne through his exploits ; and they also conferred lustre on the great Geoffrey le Bel and Philip of Alsace were throughout France for their distinguished performances in these show battles .,32,0
kbc-fragment13,6337,come,Has a leaflet come through .,3,0
kcv-fragment42,4667,know,Well not you know cleaning so I do n't know what kind of work they do .,3,0
kbw-fragment11,4264,think,I think he would would n't he ?,1,0
ccw-fragment03,1644,say,"The man you want to see , I said , is called Matthew McIllvanney and his office is the pink building with the outside staircase .",8,0
kcv-fragment42,4327,hmm,Hmm yes,0,0
crs-fragment01,77,know,I knew it was right for him this is where he learnt to join in and be like other children .,1,0
c8t-fragment01,129,grasp,"Anthony , recognizing incompetence , grasped Dalgliesh 's hair firmly with a sticky hand and he felt the momentary touch of a cheek , so soft that it was like the fall of a petal .",5,0
acj-fragment01,51,appear,"The Home Office is not bound by those opinions , and appears to depart from them frequently .",11,0
a1k-fragment02,60,write,"Marriott was the chirpy Cockney sparrer who lead The Small Faces , who performed that strange pigeon-toed shuffle on Top of the Pops and wrote Lazy Sunday Afternoon .",24,0
ab9-fragment03,941,mean,"I mean , they 're not open twelve hours like my shops , and they are n't using the space .",1,0
g0l-fragment01,276,go,They wanted to go there .,3,0
b1g-fragment02,748,amplify,In this way the chapters in this part present a number of perspectives which essentially complement and amplify the discussion in the previous part .,17,1
kcu-fragment02,1958,get,"They got their head down , see that",1,1
b1g-fragment02,1366,show,"They propose a national radiological spatial information system and , in a pilot project in Cumbria , have integrated several layers of data within ARC/INFO to show what this might involve ( Fig. 10.2 ) .",26,0
ac2-fragment06,1263,reply,"Tell me about it , he replied .",6,0
a3p-fragment09,196,call,Precisely next door to this is a restaurant called The Great House .,8,0
kbh-fragment02,256,please,"Well finish your mouthful first , please .",6,0
as6-fragment01,70,summarize,"Leech and Amin ( 1988 , p. 14 ) summarize this approach , not unfairly , in the following terms :",9,0
kbd-fragment07,2464,get,to be getting on with it .,2,0
b1g-fragment02,1241,start,Each WRA is required to produce a waste disposal plan and these are starting to appear .,13,0
b1g-fragment02,985,seem,"Many other companies , of course , are supporting environmental work but IBM seems almost to be unique in its corporate commitment to use of high technology for facilitating sustainable development .",13,0
a1f-fragment08,163,decide,"His problem will be that Mrs Thatcher might decide to do it first , and then she will garner the votes .",8,0
a1h-fragment05,77,come,"First came Four Saints in Three Acts , produced in 1934 , and then The Mother of Us All ( 1947 ) , which demonstrated a new kind of plotless opera only now reaching a wider currency through the stage works of Philip Glass .",1,1
kbc-fragment13,6259,married,"And plus he 's , he , he , he , he married an heiress you know .",12,0
a8n-fragment19,325,press,"Finally , with Arsenal pressing hard , he clawed away Quinn 's careful header from Thomas 's drag-back .",4,1
kcf-fragment14,1450,mean,I mean,1,0
a3p-fragment09,176,forget,"Everything is home-grown , home-made and fresh : it tastes like forgotten food .",11,0
ea7-fragment03,870,bring,"His friendship with Raymond V of Toulouse , a fellow warrior , reversed the trend of history since the middle of the tenth century , in bringing the princes of the far south back into the king 's mouvance .",26,1
al5-fragment03,32,pledge,"She pledged that the Government would safeguard those that did not opt for trust status , but she expected this to be a minority .",1,1
bpa-fragment14,2211,shout,"Nell repeatedly pressed the button , shouted across at Lawton , who was now using the spy port .",6,0
acj-fragment01,145,cross,"Presumably the justification is that D has already crossed a high moral/social threshold in choosing to commit such a serious offence , and should therefore be held liable for whatever consequences ensue , however unforeseeable they may be .",8,1
kbw-fragment17,6167,say,Yes love I am going to say something sensible !,6,0
ccw-fragment03,1669,turn,He turned on me like a snake .,1,1
a1f-fragment07,157,improve,"Only then will two vitally important and complementary goals be achieved : to improve Britain 's general educational and vocational competence , and hence our productive capacity ; and to reduce our gross educational inequalities between the elite who receive a narrow education to a very high standard , and the rest .",13,0
kbd-fragment07,2358,yeah,Oh yeah,1,0
a3k-fragment11,148,pass,"Advertising costs and any expenses incurred in hiring premises are normally passed on by the estate agents to the vendor , whether or not the auction results in a sale .",11,1
a3e-fragment03,52,emerge,"In an old garden , there may be a fruit tree , or a good bulwark of evergreen laurel or box that , tidied up , could add a dash of venerability to the new garden that will emerge around it .",38,1
fpb-fragment01,1346,snarl,"I 've had enough of your melodrama , Adam snarled .",9,1
al5-fragment03,52,say,"Prime Ministers always have to consider balance in the Cabinet and at least we now have the same number of women as old Etonians in John Major 's team , she said .",31,0
a6u-fragment02,240,become,Hale 's suicide became a poignant metaphor for the oppressive nature of the social values of New York and North America in general .,3,0
crs-fragment01,66,undertake,The specialist social worker and another under-fives worker with a personal interest in the issues undertook a supplementary review to examine resources for these children .,15,0
kbd-fragment07,2452,go,"He 's , he , he went in last week , he went in this week and er",6,0
bpa-fragment14,2125,settle,"After they 'd gone , Forster felt the silence physically settle around him .",10,1
ccw-fragment03,1687,pull,"I was calling Sweetman 's bluff , confident he would not dare pull the trigger , and equally confident that my marine training would let me turn him into mincemeat .",12,0
b1g-fragment02,878,indicate,"In no way , however , does this invalidate the need for microscale studies for instance , while global data sets may indicate the extent of algal blooms and may suggest causes of them , only detailed study of the algae themselves can provide understanding of why the bloom is occurring .",22,0
c8t-fragment01,44,weave,To each side of the hearth was a high-backed wicker armchair in an intricate closely woven design fitted with patchwork cushions .,15,0
kcv-fragment42,4412,mind,No Patrick where would you would you mind to go to ?,7,0
ac2-fragment06,1521,hear,"But as soon as Nate heard about the latest strike , that was it .",5,0
fpb-fragment01,1218,read,Buzz returned reading a postcard .,2,0
b1g-fragment02,1012,build,"As a result of some 40 sub-projects involving all the Member States ( and often several groups within each one ) , databases of topography , soils , water resources and quality , biotopes , atmospheric emissions , climate , soil erosion and administrative boundaries have been built up for the whole Community and can be interrelated ; other data sets ( such as land cover , derived from satellite imagery ) have already been compiled for some of the Member States .",47,0
a7s-fragment03,77,produce,"Inside The Brotherhood ( Granada ) , produced by Claudia Milne and Martin Short , dug into the most notorious area of Masonic influence , local government .",7,0
acj-fragment01,52,serve,"In 1983 the Home Secretary imposed restrictions on the release of persons serving life for murders of police- and prison-officers , terrorist killings , murder during robbery , and the sadistic or sexual murder of young children , fixing a minimum of twenty years ' imprisonment for these offenders .",12,1
kbw-fragment42,15072,want,"you do n't want it all , that your trouble ?",3,0
acj-fragment01,121,label,"One answer sometimes given is that they are not , because a driver who overtakes on a bend , knowingly taking the risk that there is a car travelling in the opposite direction , should not be labelled a murderer if a collision and death happen to ensue .",37,1
ew1-fragment01,88,reign,The financial mismanagement that had reigned before 1911 was ended with the employment of professional accountants .,5,1
a1f-fragment11,189,police,What criteria would police and immigration officials use in their search for potential terrorists on a train that they could not use at a static checkpoint or airport ?,3,0
al5-fragment03,30,need,Health needs to develop and alter .,1,0
acj-fragment01,127,concern,"In discussing the boundaries of murder , we are concerned with classification , not exculpation .",9,0
b1g-fragment02,1441,scale,"The most interesting are those which portray population flows as scaled ribbons on the network diagram , and evacuation shelter capacities as bar diagrams .",10,0
a98-fragment03,53,create,"IN December , 1943 , the men working feverishly to create the first American atomic bomb sent a team of spooks to Naples .",10,0
acj-fragment01,138,scot,"Admittedly , the Model Penal Code does contain a list of circumstances which may amount to extreme indifference , which assists the courts and increases the predictability of verdicts in a way that Scots law does not , but the essence of both approaches is that there is no precise way of describing those non-intentional killings which are as heinous as intentional killings .",33,0
b1g-fragment02,1271,stay,"An important finding was that many relied on their own transport and went to stay with friends and relatives some distance away , rather than relying on the 19 official evacuation reception centres .",14,0
kbw-fragment42,14958,help,"You 're gon na help me , you 're gon na stay here I 'm afraid",4,0
ab9-fragment03,797,keep,The boy had been told unequivocally not to let her off the lead the riding-school only used the land by grace of its owner and it was a shooting estate but he hated keeping the dog straining at the lead and knew that she would always come to his call .,33,0
ab9-fragment03,800,like,"He particularly liked this stretch ; nothing but the odd tractor and the horses ever came down this embankment , and the birds were unworried by his presence .",2,0
a1h-fragment05,102,anticipate,"He anticipated some of the enthusiasms of John Cage , whom he first met in 1941 .",1,0
kbw-fragment17,6029,organise,all sorts of things organised,4,0
kcc-fragment02,40,think,"So I thought well in case I ca n't get them anywhere else the market and he said well we 'll have one from here , twelve ninety nine .",2,0
al5-fragment03,20,entrench,"Mrs Bottomley is convinced the Tory victory provides the opportunity to entrench the reforms and to give doctors , nurses and managers the confidence to make them work .",11,0
kbw-fragment11,4080,run,Yeah the Stratford Warriors running about every six weeks something like that .,4,1
fet-fragment01,165,look,"Look here , there is another question that comes to mind .",0,1
acj-fragment01,22,see,"English law distinguishes between the offences of murder and manslaughter , as we shall see , but the two crimes do have certain common elements .",14,0
c8t-fragment01,14,strike,"And now he was passing a second and more dilapidated pillbox and it struck him that the whole headland had the desolate look of an old battlefield , the corpses long since carted away but the air vibrating still with the gunfire of long-lost battles , while the power station loomed over it like a grandiose modern monument to the unknown dead .",13,1
ea7-fragment03,847,stretch,"Outside Flanders , Robert 's sister 's marriage to Roger of Sicily was a mark of his new position in the world ; like Louis VI 's sister 's marriage to Bohemond of Antioch , it stretched French kinship connections into the new Norman colonies , ensuring that travellers from the homeland would find a welcome in those distant parts .",36,1
g0l-fragment01,264,prefer,They prefer the ram 'em and bang 'em method .,1,0
kcv-fragment42,4178,go,The rose bush was not was not pruned this year so I doubt if we 're going to have many flowers .,16,0
kbd-fragment07,2598,go,I think the young people go to it like .,5,0
b1g-fragment02,1093,hold,"Moreover , the advent of low-cost , high-density-storage devices like CD-ROMs may well make substantial data sets available even to those with modest computing power : a CD-ROM , for instance , can hold about 600 megabytes ( i.e. 10&sup6 ; bytes ) , can be reproduced currently for about Ã¥Â£1 and read on a device costing about Ã¥Â£400 .",33,0
cb5-fragment02,3329,latch,"Penetrating her sleep she had heard the faint click of the door latch , and then the familiar squeak of the hinge as the door to her room slowly opened .",12,0
cdb-fragment02,403,begin,The Suffolk police had begun hunting up previous owners of Wyvis Hall and they had been alerted that a Verne-Smith lived in their area .,4,0
