verb,sentence,verb_idx,label
cool,"Engineers in uniforms and hardhats are everywhere , many maintaining the technological heart of the levitating train : its roadbed of specially cooled superconducting magnets ",22,0
cool,"The revolutionary gallium arsenide circuits used in a forthcoming model , the Cray-3 , experienced cooling problems that resulted in millions of dollars of added costs ",15,0
cool,"Normal cooling costs are defined as the expected costs to cool a residence in average August weather , which is based on temperature records for the past 30 years ",10,0
cool,The mold is then cooled and dried and the lid peeled off ,4,0
cool,"Home here is a 12-by-15-foot room , cooled by two portable fans and crowded with three beds and boxes of clothes ",7,0
cool,"A front is then expected to move in but it will cool temperatures only slightly , to 40 to 50 degrees ",11,0
dance,"The picture spans the quarter - century between the mid-'50s and the early ' 80s , which gives Ms. Lange the chance to frequently change her hair style , to wear a variety of clothes and to dance the Twist ",37,0
dance,"They were greeted by dancing pigs , flying pigs and several hundred thousand people pigging out ",4,0
dance,"Joffrey Ballet : The bicoastal company dances its first Manhattan season since the death of founder Robert Joffrey , whose own '' Remembrances '' pas de deux will be revived ",6,0
dance,"Bill Byron , a regional sales manager for Columbus Wallcovering Co . , danced wildly down the runway in a purple '' country kitchen '' material ",13,0
dance,"Twenty - eight thousand buildings were leveled in the quake , but a few years later , 20 , 500 new ones had been built , and people of the reborn city were dancing in the streets ",33,0
dance,"And for those of you planning ahead , this year the troupe will dance '' The Nutcracker '' Dec. 1 - 31 . -LRB- 212 -RRB- 870 - 5690 ",13,0
dance,Anyone can dance the hokey - pokey ,2,0
dance,"'' This music is n't meant to be watched , it 's intended to be danced , '' Mr. Gutierrez pleads from the stage ",15,0
dance,"At the end of the group 's 40-minute set , the audience members have decided they do n't care about the museum 's rules either , and they 're dancing in the aisles ",29,0
dance,"'' I have undergraduate degrees in chemistry and marketing , but I ' m going to law school in the fall and I hope this will pay for it , '' says Sasha , who wears eyeglasses when she dances . -LRB- '' These glasses are fake , '' she explains ",39,0
dance,"Most of the rules are left unspoken : Do n't move , do n't talk , do n't laugh , do n't sneeze -- and , definitely , do n't dance ",30,0
dance,"Then watch women dancing nude at Tattletales , a blue - collar strip joint down the road with trucks outside and a Welcome Democrats sign on the roof ",3,0
dance,"Even more inadvertently hilarious is Alexander Godunov , the Soviet defector who used to dance for a living ",14,0
dance,"Charles Jude , Mr. Nureyev 's partner , danced with a youthful resilience that reflected unfavorably on the latter 's growing infirmity ",8,0
dance,"When they 're not in front of the camera , the Toons sing and dance at their version of Harlem 's Cotton Club ",14,0
dance,"Even as danced by four of ABT 's most talented males , John Gardner , Robert Hill , Kevin McKenzie and the astonishingly agile Robert Wallace , Mr. Tippet 's latest work is tough going ",2,0
dance,Racism has gone largely unnoticed as images of Brazilians of all shades dancing the samba at Carnival created a sense of racial harmony ,12,0
dance,"The leads in the second performance -LRB- Ludmila Lopukhova and Simon Dow -RRB- were better than those at the premiere -LRB- Karin Averty and Jean - Charles Gil -RRB- , but there were more enjoyable performances from younger members of the company , such as Joanna Berman , Wendy Van Dyck and Mikko Nissinen , who danced the first act pas de trois on opening night , and Andre Reyes , who replaced the latter on the following afternoon ",56,0
dance,He tap - danced around the stage to his own falsetto and flopped to the floor to the accompaniment of his booming bass ,3,0
dance,"When Danny dances with Helen , who is dubious about the whole enterprise , he tells her that it 's all a surprise for her , it 's her Valentine 's Day card ",2,0
dance,"Whether these dancers could ever meet the requirements of '' Raymonda Variations '' and '' Symphony in C , '' the ballets they danced in New York , is doubtful ",23,0
dance,"Television commercials expected to air in mid - April in New York and Miami will feature the homespun pair dancing the salsa , advertising sources said ",19,0
dance,Khopa and Ticha danced and juggled soccer balls at a Radio City Music Hall press preview announcing an upcoming tour of the Moscow circus ,3,0
dance,"Mr. Waters sets his sights on the '' hairhoppers , '' the polished amateurs who dance on '' The Corny Collins Show , '' his version of '' American Bandstand . '",15,0
dance,"They began from scratch , amateurs learning to sing and dance and act , working up to 18 hours a day , almost every day ",10,0
dance,"Plucking bonbons with a pinkie in the air , or daintily miming a billiard shot , he seems almost to be dancing through the role , a rosy cherub in grownup clothing ",21,0
dance,Upstairs over the bufyet is the ballroom where Natasha danced ,9,0
dance,"With their wives and girlfriends in Mexico , it 's common to see men dancing alone here ",14,0
dance,"'' I was so happy that I practically danced back into the house , '' Mr. Popejoy says ",8,0
dance,"Whether these dancers could ever meet the requirements of '' Raymonda Variations '' and '' Symphony in C , '' the ballets they danced in New York , is doubtful ",23,0
dance,"Television commercials expected to air in mid - April in New York and Miami will feature the homespun pair dancing the salsa , advertising sources said ",19,0
dance,"'' Seems like you 'll never make it to the top unless you know how to dance , '' the announcer intones ",16,0
dance,"Mr. Waters sets his sights on the '' hairhoppers , '' the polished amateurs who dance on '' The Corny Collins Show , '' his version of '' American Bandstand . '",15,0
dance,"This three - part '' Nature '' miniseries presents the history of the area and its amazingly rich flora and fauna , including bat - eared foxes , dancing ostriches , shrimp - eating flamingos and leaping bush babies ",28,0
dance,"'' Sam is one of a kind , '' Mr. Glass said , adding that he was n't '' going to dance the hula on Wall Street . '",21,0
dance,"Tomorrow night at New York 's swank Pierre Hotel , 200 advertising executives in black tie will dance to the jazz of Ann Hampton Callaway and dine on grilled salmon , filet of beef Peregourdine and pastry tulips filled with praline ice cream ",17,0
dance,"As the wiry Mr. Rios dances with a plump , middle - age woman , he yells in Spanish , '' I ' m legal now . '",5,0
dance,"With their wives and girlfriends in Mexico , it 's common to see men dancing alone here ",14,0
dance,And a family in adjacent Hamilton County turned to him after it got little response from local authorities to its complaints about people dancing and praying in a nearby graveyard ,23,0
dance,"Yet when ordered to dance by his master , he gamely sprinkles a little sand on the ground and shuffles through a series of rapid dance steps ending in a pathetic little pawing motion that symbolizes his entrapment ",4,0
dance,She watched an older couple dancing outside in the restaurant 's courtyard ,5,0
dance,They danced to the funk rock of a live band and grilled hot dogs and ribs ,1,0
dance,"'' And there 's Sam Nunn dancing presumably with his wife , '' she says , squinting hard from her distant perch ",6,0
dance,"In the third '' mansion , '' the lascivious emperor , Diocletian -LRB- Patrick Dupond -RRB- , dances a pas de deux with the youth and then repeats it , almost step for step , with the queen ",17,0
dance,"Set up on a strobe - lighted stage , Barbie and her buddies appear to move all by themselves , holding guitars and dancing up a storm amid flashing blue and pink lights ",23,0
dance,"Meanwhile , though , we may ask what will happen to dance back here , where the facilities Brussels has offered Mr. Morris , including a $ 1.5 million annual budget , are apparently not to be thought of ",11,0
dance,"And one of the congregation 's most remarkable and fervent prayers came from worshipers toward the back of the church who began dancing and chanting : '' Come , Tambo , come . '",22,0
dance,"In company with Susan Jaffe , Christine Dunham and Leslie Browne , Mikhail Baryshnikov , formerly of Leningrad 's Kirov Ballet , and now director of American Ballet Theatre , danced the revised version of Balanchine 's sublime '' Apollo '' with a blend of spontaneity and concentration that charged the entire evening with wonder ",30,0
dance,"Indeed , the musical 's whole point is expressed through a single climactic , apocalyptic number called '' Rockland , '' in which the cast , suddenly dressed in hip , punky clothes , leather jackets and army fatigues , sings '' We dance together in a bar to the same creeping sense of ennui . '",43,0
dance,Instead of dancing they watch rock video . ',2,0
dance,"In his own weird way , Mr. Waters has captured the gleeful garishness of the early ' 60s , when high - school girls wore demure bows in their ratted hair and deadened their lips with palest pink lip gloss -- and believed that racial harmony was inevitable if teens of all flavors could dance together on TV ",54,0
dance,"For the group dances , Mr. Morris devised choreography that was more athletic and no less compelling ",3,0
dance,"In the third round , though , Holmes got up on his toes , danced some , and flicked a few punches ",14,0
destroy,"He said incinerator temperatures of as much as 1 , 000 degrees Celsius are enough to destroy the mineral ",16,0
destroy,"Police , meanwhile , raided Arab villages and destroyed the homes of suspected activists ",8,0
destroy,"'' This memo was withdrawn and destroyed and someone got it by going through our trash and resurrecting it , '' the EDS spokesman said ",6,0
destroy,"A virus is a computer program , often hidden in apparently normal computer software , that instructs the computer to change or destroy information at a given time or after a certain sequence of commands ",22,0
destroy,"'' You have to destroy another human being , '' Mr. Espinosa says ",4,0
destroy,"Soybean seed sales skidded last spring in South Carolina , and dealers were forced to destroy tens of thousands of bags ",15,0
destroy,"Horace Furumoto , chairman and chief executive officer , said the company recently has completed its first phase as a public company , which included the development of lasers for removing birthmarks and for destroying kidney stones without surgery ",34,0
destroy,R.G. Barry Corp. said that fire destroyed one of its Mexican plants and that as a result projected 1988 sales are expected to be reduced 3 % to 4 % ,6,0
destroy,"Tropical storm Chris spawned tornadoes that damaged houses , destroyed mobile homes and caused at least one death in the Carolinas before gradually weakening ",9,0
destroy,"This is also true , I believe , with respect to the famous Buddhist university at Nalanda , India , which too was destroyed by the Moslem hordes , who had no respect for others ' learning ",23,0
destroy,"But as most of those certificates are destroyed in favor of computer records , the investor who requests a certificate will have to wait until it 's delivered by the city or state that issued the bond ",7,0
destroy,"Last year , Mexico claimed that the equivalent of 6 , 200 acres of poppies were destroyed , up from 5 , 900 acres the previous year ",16,0
destroy,"Israel has agreed to develop an interceptor missile for the U.S. that would destroy short - range ground - to - ground missiles , state - owned Israel Aircraft Industries said ",13,0
destroy,"And Mr. Gorbachev 's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed , Mr. Chalmers says ",27,0
destroy,"Nevertheless , petroleum markets remain stubbornly soft despite recurring signals of a possible turnaround , including major gains in petroleum demand and supply interruptions , such as last week 's explosion that destroyed the Piper Alpha platform in the North Sea ",32,0
destroy,"They destroyed 450 , 000 acres of sugar beets and other crops ",1,0
destroy,"Mr. Hudson did n't provide any details about who destroyed documents , how they were destroyed or how they might have been related to the investigation ",15,0
destroy,"So in February 1985 , three years after her paintings were destroyed , Ms. Smith sued Chase in a New York civil court for $ 25 , 000 ",11,0
destroy,The treaty requires that the Army 's 420 Pershing missiles be destroyed ,11,0
destroy,"Furthermore , records that were supposed to be destroyed sometimes are n't , and they , too , occasionally surface ",8,0
destroy,"The department maintained that fighter aircraft , for example , '' must be fast enough and maneuverable enough to evade and destroy enemy aircraft ",21,0
destroy,He arrived in the U.S. last month after bulldozers and jackhammers destroyed his 80-year - old house in central Bucharest ,11,0
destroy,A Soviet Foreign Ministry aide disputed claims by U.S. officials that an explosion last week destroyed the only plant producing rocket fuel for SS-24 intercontinental missiles ,15,0
destroy,"After destroying two platforms , the Iranian gunboat the Joshan mounted a failed assault on the Navy ships and was quickly sunk ",1,0
destroy,"The agreement , to be announced today , marks the first time an industry using chlorofluorocarbons , or CFCs , has voluntarily decided to phase out the chemicals because they can destroy the Earth 's protective ozone layer ",31,0
destroy,"Once the people move , these houses will be destroyed ",9,0
destroy,"Companies still spend billions of dollars printing and storing forms -- - and destroying them when , say , an address changes ",13,0
destroy,"This agreement is the product of the determination and sacrifice of the freedom fighters through years of struggle , including their heroic resistance last week to a Sandinista offensive designed to destroy them ",31,0
destroy,This was not the first occasion when Sandinistas have pursued Contras across an ill - defined frontier and sought to destroy the Contra bases ,20,0
destroy,"Then , two days before the scheduled premiere in November , a fire raged through the opera house , destroying the backstage facility , sets and costumes ",19,0
destroy,"A federal magistrate in New Orleans accused the brokerage unit of PaineWebber Inc. of relentless '' stonewalling '' -- among other things , permitting potential evidence to be destroyed -- to prevent a customer - complaint lawsuit from going to trial ",28,0
destroy,"'' What the U.S. should do , rather than destroying those oil wells , is capture them as prizes of war and turn their production over for the benefit of the U.S. and its other allies in the gulf , '' he said ",9,0
destroy,"Because they 're so accurate , cruise missiles can use conventional bombs to destroy targets that only a few years ago required nuclear warheads ",13,0
destroy,"The agreement , to be announced today , marks the first time an industry using chlorofluorocarbons , or CFCs , has voluntarily decided to phase out the chemicals because they can destroy the Earth 's protective ozone layer ",31,0
destroy,"'' People destroy coral reefs that take thousands of years to build , affecting all the fish that use it for food and shelter , just for a piece of decoration , '' says Mr. McCloud ",2,0
destroy,"The chief substitutes will likely be variations on this chemical structure but with less chlorine , the element thought to destroy atmospheric ozone ",20,0
destroy,Israeli warplanes destroyed a PLO base in a Druse - held hilltop above Beirut in Israel 's deepest air raid into Lebanon this year ,2,0
destroy,The doctor who removed the IUD destroyed Ms. Murdock - Vaughn 's files in 1979 as part of a routine office cleaning ,6,0
destroy,He testified that he was ordered by the Robins former general counsel in 1975 to destroy sensitive documents about the Dalkon Shield ,15,0
destroy,Philippine troops launched a massive '' search and destroy '' operation in the Bicol region of Luzon following a Saturday attack by communist rebels in which 13 anti - guerrilla troops were killed ,8,0
destroy,"'' Well over 200 synagogues were burned down or demolished , Jewish cemeteries were laid in ruins , thousands of businesses and homes were destroyed and plundered ",24,0
destroy,"'' We are offering now to free them from their nightmares of security -- we do n't want to destroy Israel , we want to coexist ",19,0
destroy,"Conjoining them is like pounding square pegs into round holes , destroying the superconductors ' ability to conduct large electrical current without resistance -- their hallmark and the source of commercial excitement about them ",11,0
destroy,"The indictment also charges that Mr. Frankel , 32 , and Mr. Yagoda , 44 , committed perjury and obstruction of justice when they testified before the SEC in 1986 , and that Mr. Frankel further attempted to obstruct the SEC 's investigation when he directed a co - conspirator at Drexel to destroy certain documents ",53,0
destroy,Some 64 % of normally unconcerned Britons recently described their environment as '' destroyed to a considerable extent '' when polled by the Gallup Organization ,13,0
destroy,Old clothes are often destroyed and new ones donned ; indoctrination is given in social mores and religious beliefs ,4,0
destroy,"Bishop de Landa , recalled to Spain in 1568 , went down in history as a book - burner for destroying the Maya codices , an act that seems more understandable as we learn more about their civilization ",20,0
destroy,"While the Meadowlands ' share of betting alone pays the interest on the bonds for the entire sports and entertainment complex , three more recent tracks -- Garden State Park in Cherry Hill , N.J . , resurrected after being destroyed in a fire ; Canterbury Downs in Shakopee , Minn . , and Birmingham -- have had losses totaling nearly $ 80 million in just three years after combined investments of $ 320 million ",40,0
destroy,Arsonists in Haiti destroyed a Roman Catholic chapel in a slum in Port - au - Prince ,3,0
destroy,"He did n't set a deadline for destroying PCBs , but said movable disposal units might be leased from the U.S. to help eliminate those stored in warehouses across the country ",7,0
destroy,'' Moscow has been 80 % destroyed because Communists do n't like Russia . ',6,0
destroy,"The advertisements featured a letter from the company 's Universal Pictures unit responding to an offer from Bill Bright , president of the San Bernardino , Calif .- based Campus Crusade for Christ , to pay $ 10 million in exchange for all copies of the film , '' which would promptly be destroyed . '",53,0
destroy,"When buried in landfills , the oxidizing agents react with metal salts in the soil , and the links between the polymers are destroyed ",23,0
destroy,"And instead of reacting to this aggression by destroying Iranian naval assets , defense leaders responded by saturating the Gulf with American military forces that were not supposed to engage their aggressor , but instead were supposed to intimidate him by their mere presence ",8,0
destroy,"Director John McTiernan -LRB- '' Predator '' -RRB- has efficiently slapped together the ingredients for a big , ear - shattering action film : slick , heavily armed villains ; a wife in peril ; stupid TV journalists who only make things worse ; a renegade cop who singlehandedly destroys the bad guys against impossible odds ",49,0
destroy,It actually demonstrated its ability to destroy target drones in flight ,6,0
destroy,So only a direct hit on the concrete hangar or an extremely close miss can destroy the plane on the ground ,15,0
die,"In small type , the ad does state that just 5 , 800 of the 241 million Americans will die this year of skin cancer and that '' odds are it wo n't be your funeral . '",19,1
die,About 25 % of those children die of liver cancer or cirrhosis ,6,1
die,"Immune - suppressed children often die of illnesses like chicken pox , meningitis , measles and pneumonia ",5,1
die,And millions of animals will die ,5,1
die,"He just wo n't die , the untamable , lubricious monster monk from Siberia who darkened the imperial doorstep of Nicholas and Alexandra ",4,0
die,"An estimated 18 , 100 Americans will die from it this year , making the disease the fifth - greatest cause of cancer deaths ",7,0
die,Many patients still die relatively quickly ,3,0
die,"But the EPA and medical specialists have estimated that , even if schools eliminate asbestos quickly , 1 , 000 to 7 , 000 people already exposed to the substance in their school years would die from asbestos - related diseases over the next 30 years ",35,0
die,"'' But , Doc , I ' m going to die of this , '' you plead ",10,0
die,"When the parents die , ownership of the entire property transfers directly to the kids , '' he says ",3,0
die,A critical 10-day period in which much of the $ 22 billion corn crop must germinate or die sterile is passing without adequate rain ,17,0
die,Weyerhaeuser Co. said it has budgeted an extra $ 1 million to replace seedlings that may die ,16,0
die,"'' While physicians should never directly cause death , they must always act in the best interest of their patients and that sometimes includes allowing them to die , '' Dr. Sammons said in a statement ",27,0
die,He adds : '' To die in defense of one 's country is one thing ; to die unnecessarily because of a defect in a product is quite another . ',17,0
die,"'' If we keep this up , we 'll die with our flag . '",9,0
die,"Every day this legislation is delayed , 25 people die in needless pain that could have been relieved with this treatment , which has been used successfully in Britain for years ",9,0
die,"Mr. Mulheren rescued the child from the bottom of the pool and , according to a friend , stood shaking the child as tears streamed down his face , crying , '' Do n't die , do n't die . '",38,0
die,"The Kidney Patient Association , an independent group , estimates that some 1 , 500 Britons die every year because of lack of kidney treatment ",16,0
die,"'' It is better for a pitchman to die than to be caught alive in a scandal , '' contends Albert Lerman , chief creative officer at D'Arcy Masius Benton & Bowles in St. Louis , whose clients include Anheuser - Busch Cos ",8,0
die,We are all afraid to die and all we can do is count the days till we go home . . . ,5,0
die,And they die anyway . ',2,0
die,"And a current red - and - black billboard in Mount Vernon , N.Y . , warns that '' People who do drugs go to hell before they die . '",28,0
die,"About 40 , 000 newborns are afflicted each year with the disease ; about 10 , 000 die from it ",17,0
die,"'' Some of these older people would die before they 'd go to a hospital in Huntsville or Decatur , '' says Tony Williams ",7,0
die,"Should he die soon , the debate would be further sidetracked ",2,0
die,"Now , it is said that Duivree can not die ",9,0
die,"The deity is Col . Lee Kuang - chien , the most senior KMT officer to die in the 1949 battle ",16,0
die,A motorcycle rider is 10 times more likely to die in an accident than an automobile driver . -RRB-/-R,9,0
die,"Nothing dates faster than a business book because trends change , statistics lose meaning , companies get liquidated , executives get the ax , and people die ",26,0
die,"The EPA 's current emission standard for radium is five picocuries per liter , a standard that corresponds to a risk whereby one of 10 , 000 people exposed to such an emission level over a lifetime would die ",38,0
die,"In 1347 , Mongols besieging the Black Sea port of Caffa began to sicken and die from the plague ",15,0
die,"'' He will take up my gun when I die , '' the captain says ",9,0
die,"Civilians die , and the population turns against the mujahedeen ",1,0
die,"But thanks to glasnost , people here know that about a dozen people die from mishaps in the factory every year ",13,0
die,"Quiet pressure from top businessmen combined with British and German threats of more sanctions to convince Pretoria to soften legislation that would cut off overseas funding of opposition groups , and to indefinitely postpone the hanging of the Sharpeville Six , a group of blacks sentenced to die for the mob killing of a black town councillor ",47,0
die,"'' That 's not such a young age to die here , '' she says ",9,0
die,One of St. Bonaventure 's books ends with the sentence : '' Let us die then and enter into that darkness . ',14,0
die,It 's not as though the prodnoses care whether people die of lung cancer ,10,0
