arg1,arg2,verb,sentence,verb_stem,label
educated,flooded,market,"This has given a sheepskin a rarity value unimagined in the 1970s , when the well-educated flooded the labor market and the cabbie with a doctorate drove his way into national folklore .",flood,0
helal,ride,donkey,"Mohammed Abu-Helal , a West Bank farmer , used to ride his donkey across the river on Fridays to attend an east-bank mosque .",ride,0
it,dissolve,board,"The Suez group has said it will dissolve the Belgian company 's current 23-member board and create a two-tier management , with a chief executive running day-to-day operations and a management committee that defines strategy .",dissolve,1
lebanese,drink,coffee,A Middle Eastern analyst says Lebanese usually drink coffee at such occasions ; Palestinians drink tea .,drink,0
that,touch,patron,"Western diplomats and other observers say the Northrop situation could be a test case of how far the government of South Korea 's newly elected President Roh Tae Woo will go in investigating questionable matters that touch his old friend and political patron , former President Chun .",touch,1
insects,attacking,snags,"Insects begin attacking the snags almost immediately after a fire , and the charred trunks are likely to be toppled by the wind .",attack,0
chance,dance,twist,"The picture spans the quarter-century between the mid-'50s and the early '80s , which gives Ms. Lange the chance to frequently change her hair style , to wear a variety of clothes and to dance the Twist .",dance,0
figures,flowing,capes,"By 9 a.m . , the cadets are off to class , batlike figures in dark , flowing rain capes , black briefcases clutched with precision in their left hands .",flow,1
palestinians,drink,tea,A Middle Eastern analyst says Lebanese usually drink coffee at such occasions ; Palestinians drink tea .,drink,0
which,killed,115,"The observers in Seoul are convinced North Korea was responsible for the Nov. 29 bombing of a Korean Air Lines flight near Burma , which killed 115 .",kill,0
it,attack,personality,"According to this view , a work of art is an extension of the personality of the artist ; to alter or mutilate it is to attack the very personality of the artist .",attack,1
you,kill,cells,"`` The only thing that would make me feel better about -LRB- the NIH experiment -RRB- would be to put in a second marker gene as a fail-safe , to allow you to kill all the cells of that lineage at will if something went wrong , '' one researcher says .",kill,0
you,eat,thallium,"Asked about the resonating valence bond theory of superconductivity , one of the Enquirer 's young female sources comments , `` RVB is like . .. when you eat thallium and your boyfriend eats thorium . .. and then you kiss . ''",eat,1
storm,killed,people,"The storm killed about 100 people on land , and left more than 100 , 000 homeless .",kill,1
he,examine,problems,"In Taunton , he called together business , labor , political and education leaders to examine the city 's problems .",examine,1
jackson,escapes,questions,"It seems that Mr. Jackson escapes the media 's searching questions of experience , public policy and character that other candidates are subjected to because of the delicate racial issue .",escape,0
companies,fill,fleets,"To keep from wresting top executives from the driver 's seat , Runzheimer says , more companies are trying to fill fleets with less expensive models .",fill,1
court,strikes,law,"In 1925 , Congress said that the Supreme Court has discretion to refuse to hear cases , except when a state supreme court strikes down a federal law or upholds a state law that was challenged as violating the Constitution , or when a federal appeals court strikes down a state law or a federal appeals or district court strikes down a federal law , all on constitutional grounds .",strike,0
right,examine,books,"Moreover , the SEC would have the right to examine books and records without prior warning .",examine,0
ground,absorbed,waves,"This time , the ground absorbed the shock waves enough to transfer her images to the metal in bas-relief .",absorb,0
he,rests,platform,"And , like Mr. Bush , he rests his platform on often untested optimism .",rest,1
that,pumped,oil,"Thanks to further development of previously discovered reserves in Alaska and the Gulf of Mexico , BP America is one of the few North American oil producers that pumped more crude oil last year than in 1986 .",pump,1
drugs,attack,cells,"By hitching a ride on these proteins , drugs can be very narrowly targeted to attack diseased cells , Mr. McCamant says .",attack,0
that,fills,us,"The subject is Oedipus 's death , and perhaps because death is the one thing that still fills us with awe , the excellence of this scene transmits a shiver of the tragedy 's original force .",fill,1
war,melted,most,"In Mr. Kupfer 's `` Ring , '' a nuclear war has melted most of the world and made shopping difficult .",melt,1
it,killed,itself,"The message was programmed to be seen only once -- on March 2 -- `` then it killed itself , '' she said .",kill,1
that,lent,to,"A major part of the sale proceeds will be used to repay about US $ 225 million in National Bank debt owed to the Brunei government and more than 40 international creditors , mainly banks that lent to National Bank before it was seized and closed by Brunei in November 1986 .",lend,0
that,killed,115,The U.S. added North Korea to its list of terrorist states and announced other sanctions over the November bombing of a Korean Air Lines jet that killed 115 .,kill,1
leaders,stepping,appearances,"With the pace of the campaign now heating up , the two leaders will be stepping up their appearances: At least four more debates are scheduled between now and March .",step,0
you,knock,gene,`` It seemed to me an enormously powerful tool if you could knock out a gene responsible for a virus or cancer . '',knock,1
article,kicking,rally,"The article cited by many traders for kicking off Monday 's rally appeared in the Sunday Times of London and was written by Goldman Sachs 's London-based chief international economist , David Morrison , an influential exchange-rate forecaster .",kick,1
you,fix,some,"The question is , do you fix some of these problems by spending more on them or by divesting ? ''",fix,1
clients,examine,feasibility,"Several Wall Street investment bankers said clients have instructed them to examine the feasibility of topping the Swiss giant 's bid , but emphasized that interest so far is preliminary .",examine,0
who,examining,compliance,"A U.S. District Court judge in Pittsburgh , who was examining BNS 's compliance with federal bank-borrowing regulations , has said he would remove his injunction if Koppers and BNS agreed to merge .",examine,1
i,grabbed,it,"The leg of a corpse was sticking out of the side , and frantically I grabbed it ; it wrenched off , and casting it down I pulled in a couple of rifles and yelled to the troops in the gunpit to throw me more .",grab,0
air,kick,campaign,Mr. Lorenzo said Texas Air today will kick off an advertising campaign aimed at convincing the American public that Eastern is safe and has been the victim of union leaders `` who have their own agenda . '',kick,1
reason,drink,beer,Then it finally comes to him: `` It 's a good reason to drink beer . '',drink,0
u.s.,miss,boat,"`` The U.S. could miss the boat if they play politics at the ADB and do n't put up the bucks , '' says an ADB executive who declined to be identified .",miss,1
they,dragging,feet,"But even though the leaders of the Communist Party have accepted much of Solidarity 's platform , they are dragging their feet .",drag,1
state,escape,base,"All agree that the state must diversify its industrial base to escape the recently detrimental reliance on oil , said Ron Jones , chairman of the New Orleans Business Council and president of Louisiana Coca Cola Bottling Ltd .",escape,1
farmers,plowing,acreage,Foreign farmers are fast plowing new acreage for soybeans to meet demand around the world .,plow,0
pittenger,fill,post,"Baaron Pittenger , a long-time USOC aide who had served as acting executive director after Mr. Miller left , was named to fill the vacant post until year end , when Mr. Schiller 's contract expires .",fill,0
that,killed,haq,The Soviets also rate as prime suspects in the plane crash that killed President Zia ul-Haq in August ; Pakistanis have concluded the cause was unspecified sabotage .,kill,0
retailing,fills,bill,"He now says that specialty retailing fills the bill , but he made a number of profitable forays in the meantime .",fill,1
efforts,cool,economy,The Bank of England added that it is `` too early to be sure '' whether the British government 's recent efforts to cool down Britain 's overheated economy `` will prove sufficient to restore the economy to a sustainable path . '',cool,1
it,flew,them,"Next it flew them -- in its corporate jet and accompanied by the company 's chairman , Joseph Williams -- to Anaheim , Calif . , where they spoke to a big cardiologists ' meeting .",fly,0
ansaldo,step,role,"Ansaldo , which until last year got about 20 % of its sales from building nuclear power plants , is trying to step up its role in transportation following Italy 's ban last year on further nuclear plant construction .",step,1
association,targeting,growers,"In addition to representing the approximately 1 , 300 wineries in this country , the association also is targeting for membership thousands more wine-grape growers , according to Richard Feeney , the group 's executive director .",target,1
that,kill,shoreham,"But although negotiations have stalled , an agreement that would kill Shoreham while keeping Lilco whole is still likely , these persons said .",kill,1
locusts,fill,silence,Locusts fill the eerie silence of old battlegrounds ; peasants give live locusts to their babies as toys .,fill,1
mishap,killed,attendant,The mishap killed a flight attendant .,kill,0
knees,touch,ground,"A player could n't let the knees touch the ground , for two reasons -- one a matter of protocol , the other practical .",touch,0
parties,strike,arrangements,He said that parties looking to strike joint venture arrangements with Texaco `` want to know who they 're going to be dealing with in the future . '',strike,0
they,fly,trip,"From next Monday to Oct. 15 , it will let passengers qualify for triple mileage if they fly a round trip between Newark , N.J . , and Kansas City , Mo . , or between Newark and Minneapolis St .",fly,0
fare,missed,opportunity,But passengers who planned to travel at the low advertised fare but did n't purchase tickets before France rejected the fare missed the opportunity .,miss,0
boyfriend,eats,thorium,"Asked about the resonating valence bond theory of superconductivity , one of the Enquirer 's young female sources comments , `` RVB is like . .. when you eat thallium and your boyfriend eats thorium . .. and then you kiss . ''",eat,1
reagan,stepped,volume,"President Reagan stepped up the volume of this chorus this year by attacking such purportedly porky projects as a $ 900 , 000 catfish aquaculture facility in Stutgart , Ark . ; a $ 2.4 million grant for the `` tailored clothing industry , '' and a $ 5 million gondola transportation system at an Idaho resort area .",step,1
bases,pump,millions,"Indeed , the U.S. maintains that the bases pump many millions of dollars into the Philippine economy , over and above whatever compensation and aid the U.S. gives to Manila .",pump,1
process,destroyed,plans,"Pace Industries Inc. was in the process of selling its Rheem Manufacturing Co. unit , a maker of water heaters , when the stock market collapsed last year and destroyed the buyer 's financing plans .",destroy,0
troops,killed,civilians,"Indian troops in Sri Lanka killed 20 Tamil civilians after four soldiers died in an ambush by Tamil rebels , officials in Colombo said .",kill,1
stocks,dragged,performance,But the bigger companies ' stocks have dragged down the group 's performance .,drag,1
trading,touch,fall,`` They 're afraid program trading will touch off another free fall and they 've been through that before . '',touch,1
fear,missing,boat,"Alfred Goldman , a market strategist with A.G. Edwards & Sons in St. Louis , said with the move in the industrial average beyond its old high , some money managers were probably gripped by the `` classic fear of missing the boat , '' and they scrambled to buy some stocks late in the day .",miss,0
board,examining,alternatives,The Bank Board is examining various alternatives that would bypass the need for any California state approvals .,examine,0
one,flowed,5,"Of the three intervals tested , it said one flowed 5 , 325 barrels of oil a day , a second flowed 23.5 million cubic feet of gas a day and a third flowed 44 million cubic feet of gas a day .",flow,0
nobody,attack,queen,"Suzy says she almost did n't answer the Revson column: `` But nobody , especially nobody of this ilk , can attack the queen .",attack,0
he,destroy,documents,"The indictment also charges that Mr. Frankel , 32 , and Mr. Yagoda , 44 , committed perjury and obstruction of justice when they testified before the SEC in 1986 , and that Mr. Frankel further attempted to obstruct the SEC 's investigation when he directed a co-conspirator at Drexel to destroy certain documents .",destroy,0
making,kill,it,"Making the Paris-Dakar rally less perilous , Mr. Sabine says , might kill it .",kill,1
it,eat,%,"By 1993 , it will eat up 10.6 % of all federal spending even if no new benefits are added .",eat,0
projects,absorb,many,"While reconstruction projects may initially absorb many of the workers , the need to find work for men demobilized from Iraq 's million-strong army makes it unlikely that guest labor will remain at current levels .",absorb,0
department,examine,suit,"By filing a complaint , the citizen forces a government investigation , because the Justice Department is required to examine each False Claims suit .",examine,0
launches,grab,headlines,"While manned launches , such as that of the space shuttle last week , still grab occasional headlines , industry observers are focusing more and more on the moves of trade negotiators .",grab,1
rebuff,touched,panic,"The rebuff touched off a panic at British Caledonian , where a bidding war was considered crucial to getting the highest price .",touch,1
group,kill,captives,"In Beirut , the pro-Iranian group Jihad threatened to kill its American and French captives if any attempt was made to storm the jetliner .",kill,1
insurers,stepping,pressure,"Many insurers , including Cigna Corp . , Metropolitan Life Insurance Co . , and Prudential Insurance Co. of America , are stepping up pressure on companies to shed the traditional free-choice indemnity plans that reimburse employees for most of their medical costs while giving them total control over selecting a doctor .",step,1
agreement,drag,feet,"The U.S. and Pakistan long had sought such a `` front-loading '' of the agreement to ensure that the Soviets do n't reap the political benefits of beginning a withdrawal , and then drag their feet in carrying it out .",drag,1
it,ate,camera,"Still , they did n't go quite as far as one Himalayan bear -- it ate the camera .",eat,0
which,struck,company,"Mr. Harris says the free-trade agreement gives Canadian steel producers more secure access to the huge U.S. market and reduces the threat of U.S. quotas , which he said almost struck his company four years ago .",strike,1
lysozyme,destroyed,it,"In a test against listeria grown in cole slaw , lysozyme destroyed it without affecting the quality of the food .",destroy,0
unit,lend,aid,"The agreement also helps avoid bickering between Texaco and its independent-minded unit , which pledged to lend its vital aid in the sale .",lend,1
way,knock,him,The way to topple Gen. Noriega economically was to knock him completely off balance with a sanctions blitz that would have made the Panamanian economy scream -LRB- as the Nixon administration tried to do to Salvador Allende 's Chile -RRB- .,knock,0
order,eating,pie,"The honor of these Pulitzer-predators will be vindicated only if Mr. Anderson does all sorts of demeaning acts pursuant to article 48a of the Civil Code of California , mostly in the order of eating humble pie .",eat,1
colonoscopy,examine,-rrb-,"Other hospitals , she says , routinely admitted patients for a colonoscopy -LRB- in which a tube is inserted to examine the colon -RRB- that could have been performed in a doctor 's office for $ 500 .",examine,0
contender,step,attacks,The Democratic contender will step up attacks on Bush 's proposal to cut capital-gains taxes .,step,1
ease,drinking,dose,"Film clips 30 and 40 years old are used to contrast the `` horrors '' of conventional surgery , radiation and chemotherapy treatments with the ease of drinking a dose of Hoxsey 's tonic .",drink,0
accord,absorb,one,An early new accord would absorb the existing one .,absorb,0
strategists,targeting,areas,"Dole strategists are targeting areas of Missouri , Oklahoma , Maryland and North Carolina .",target,0
customers,lent,engineers,And only 20 % reported that their customers lent them engineers to supplement their own technical expertise .,lend,0
anyone,dance,pokey,Anyone can dance the hokey-pokey .,dance,0
fears,touched,bonds,Investors ' fears have touched the bonds of companies not immediately identified as takeover targets .,touch,1
they,destroy,layer,"The agreement , to be announced today , marks the first time an industry using chlorofluorocarbons , or CFCs , has voluntarily decided to phase out the chemicals because they can destroy the Earth 's protective ozone layer .",destroy,0
limestone,absorb,sulfur,"An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone , which tends to absorb the sulfur .",absorb,0
commissions,eat,profits,The commissions would eat up my profits . '',eat,1
issue,touches,californians,"`` This issue touches all Californians -- it 's the biggest economic prop around -- and he 's got to deal with it , '' says Mervin Field , the non-partisan California pollster .",touch,1
it,attack,targets,The PLO said it would attack Israeli targets to avenge Sunday 's killing of three guerrillas and Monday 's bombing of a ship intended to carry Palestinian deportees to Israel .,attack,0
employees,struck,companies,"About 2 , 500 tugboat employees struck nine marine-transport companies in the Port of New York and New Jersey .",strike,0
efforts,cool,trading,One trader said that the rumors of the Finance Ministry 's efforts to cool trading of the large-capitalization issues triggered the losses in the steel and heavy industrial sectors .,cool,1
they,fill,some,"Though they may fill some of the same military needs , the missiles are quite different from any arms the Saudis have sought from the U.S .",fill,0
one,lend,us,"Oh , for the day when we all drive Yugos to our stagnant jobs , secure in the knowledge that no one will lend us money .",lend,0
ruder,attacked,dissents,"In his own opinion , Chairman Ruder attacked both dissents as attempting to reduce the customer 's protection not only below the level set in the securities laws , but even below the standard set by common law .",attack,1
they,lend,money,"The final portion of that loan totals $ 1.2 billion , bankers said , adding that they are legally bound to lend the money .",lend,0
earthquake,killed,people,"Army and medical rescue teams reached stricken Chinese villages in a remote area near Burma , where an earthquake Sunday killed more than 900 people .",kill,0
they,examine,fundamentals,Most historians of the Tulipmania were so intent on demonstrating the follies of speculative markets and thereby providing a case for controlling market activities that they neglected to examine the market fundamentals of bulb pricing .,examine,0
spots,grab,viewer,"Like soap operas , the spots try to grab the viewer with heavy doses of drama and emotion .",grab,1
party,absorb,losses,"With its strength in the Old South , the Rocky Mountain and northern plains states and such dependable GOP bastions as Indiana , the party can absorb some losses and still accumulate close to 200 electoral votes .",absorb,0
institutions,pumping,proceeds,"Asset managers and institutions , which have been selling some of their old OTC favorites for two days now , began pumping proceeds into former OTC high-flyers , mostly issues that plummeted in the crash .",pump,1
it,flew,miles,"For the first three months of 1988 , the airline said it flew 2.95 billion revenue passenger miles , up 15.2 % from the 2.56 billion miles a year earlier .",fly,0
china,cool,economy,"The last time China tried to cool its economy , in 1985 and 1986 , foreign exporters and investors suffered .",cool,1
family,drink,juice,They induced shopper Aileen Schmieder to temporarily stop trying to get her family to drink more milk and juice .,drink,0
it,absorb,lot,"But in the short-term it will absorb a lot of top management 's energy and attention , '' says Philippe Haspeslagh , a business professor at the European management school , Insead , in Paris .",absorb,1
them,eat,it,"`` These guys who are poisoning our youth with drugs and who are making money on it , we 'll make them eat it , '' he said .",eat,1
zia,dissolved,side,"So , as the team investigating the disaster homed in on two top generals , on May 27 President Zia dissolved the civilian side of the government , alleging the civilians were corrupt and that Pakistan needed more religion .",dissolve,1
which,cool,report,"The drought is expected to draw down agricultural stockpiles , which could help `` cool '' the third-quarter-GNP report , economists said .",cool,1
they,eat,themselves,"`` If you put a pile of candy bars out in a pasture , '' Mr. Flickinger says , `` they 'd go eat themselves to death . ''",eat,1
us,plant,trees,"`` The new irrigation tunnel has allowed us to plant 6 , 000 willow trees and 600 apple trees and to earn money for the education of our children , '' she says , tears welling in her eyes .",plant,0
country,fly,warplanes,"He is part of a growing air force of amateur aces around the country who rebuild and fly aging warplanes , indulging in weekend flights of fantasy like Mr. Deakins 's Battle of Stuart . -LRB- He won , he says , by keeping Mr. Stephenson , 48 , in his gun sights for 10 seconds ; the planes are unarmed .",fly,0
cuts,attack,deficit,"While proposing such cuts to attack the current deficit , Mr. Jackson is vague on how the expensive new social programs he proposes would pay for themselves .",attack,0
it,fills,stage,It no longer fills its stage with second-rate English aria-mongers .,fill,1
policy,attacked,unemployment,"By spreading the benefits of economic development into depressed regions , Massachusetts economic policy has attacked structural unemployment .",attack,0
he,knocked,mansions,Thus he notes that when Edward Baring became Baron Revelstoke in 1883 he knocked together two Mayfair mansions to make one urban palace in which he `` entertained in a style as lavish as the furnishing .,knock,1
mitterrand,dissolved,parliament,Mitterrand dissolved parliament Saturday .,dissolve,1
meese,fill,choice,Agency officials said that it could be weeks before Mr. Meese can announce his choice to fill the deputy attorney general 's spot and that the work of the department 's top budgetary group -- previously headed by the deputy -- has come to a near standstill .,fill,0
excuse,missing,class,"In the hallway beyond , the shouts of students changing classes reverberate , reminding Mrs. Black that this soon-to-be mother of two needs an excuse to give her teacher for missing a class .",miss,0
columnist,pumping,bullet,"Carl Rowan , of course , is the famous liberal newspaper columnist and TV commentator who may have become even more famous Tuesday for pumping a bullet from a .22-caliber handgun into the wrist of Ben Neal Smith , 18 , of Chevy Chase .",pump,1
ltd,knocking,her,"-- Last September , 22-year-old Kimberly Isaac of Baton Rouge , La . , was badly scraped over a large part of her body when a 1977 LTD she had just parked in a grocery-store lot backed up , knocking her over and dragging her in circles .",knock,0
most,sticking,finger,"Despite many gains , the sad truth is that most of Mr. Eastland 's time was spent sticking his finger in the dike of politically motivated attacks on Mr. Meese .",stick,1
refinery,fixing,other,"`` They could probably buy the whole Tenneco refinery for what they 'd spend fixing up the other , '' said Thomas Manning , vice president of the consulting firm Purvin & Gertz Inc . , Houston .",fix,1
time,step,production,"The date would give two breweries , which now produce beer for export only , time to step up production , the bill said .",step,1
ltd,knocking,her,"-- Last September , 22-year-old Kimberly Isaac of Baton Rouge , La . , was badly scraped over a large part of her body when a 1977 LTD she had just parked in a grocery-store lot backed up , knocking her over and dragging her in circles .",knock,0
-rrb-,assaulted,requests,"For the past 10 years the House Subcommittee on Africa , first under Stephen Solarz -LRB- D . , N.Y. -RRB- and now under Howard Wolpe -LRB- D . , Mich. -RRB- , has annually assaulted White House requests for aid appropriations .",assault,1
genscher,lent,support,Mr. Genscher and his Free Democratic Party have lent support to such efforts by pursuing a detentist line .,lend,0
cells,attacked,cartilage,"It turned out that a protein segment in cartilage is similar to the bacterial protein segment , which explained why the white cells also attacked the cartilage .",attack,1
sunbelt,rolled,loss,"Sunbelt , which had $ 2.3 billion in assets , rolled up a $ 1.2 billion net loss in its fiscal fourth quarter , ended March 31 , that accounted for half the $ 2.4 billion loss in regulatory capital incurred by the nation 's federally insured thrifts during that period .",roll,1
who,kick,drive,"None of this seems to have damped the spirits of the hall 's backers , who plan to kick off a new fund-raising drive this fall .",kick,1
i,sleep,hours,"That is , they taught me how to get up in the morning when I wanted to sleep another few hours .",sleep,1
corbett,poured,molasses,"When Mr. Corbett poured molasses on Chief 's feed to make it more appealing , the bored hog merely licked off the syrup .",pour,0
drought,withered,crops,"Because of crop failure , farmers are expected to abandon 14 million acres this fall , considerably more than they wrote off in 1986 , when drought withered crops in the South .",wither,0
gamecock,kick,journalist,"The more today 's candidates compare themselves to the little gamecock who scattered S.O.B.s like shrapnel and threatened to kick a journalist in his most tender parts , the more controlled most of them have become .",kick,1
thiokol,kill,program,The lawmaker suggested that Thiokol might be trying to kill the advanced-rocket program to ensure that the current rocket is used even longer .,kill,1
idea,struck,root,The idea of having one child has struck a deeper root and less people are punished for violating the birth control plan . . . .,strike,1
who,rolled,german,"As of Thursday night , other Yanks besides Schultz remained in their respective gold-medal chases , including 1984 Olympic super-heavyweight champ Bruce Baumgartner , who rolled a notable East German on Thursday ; Nate Carr at 149.5 , and Kenny Monday at 163 .",roll,0
programs,escape,poverty,"And so long as one-third of the black population is mired in poverty , blacks will not hear of dismantling programs that enabled so many within their ranks to escape poverty in the first place .",escape,0
scientists,examined,members,"In Kindred 1002 alone , the scientists have examined 350 members .",examine,0
he,grab,audience,"And he still knows how to grab an audience: Yesterday , he made people sit up with his announcement of a $ 225 million offer for Resorts International Inc . , although it was rejected within hours .",grab,1
they,lend,to,"Instead of being directed at the Mafia , they are being used to lend meaning to fuzzy laws and test novel legal theories in cases against Bob Wallach , securities officials from firms such as Princeton Newport and presumably Drexel Burnham , and now the Marcos family .",lend,0
officials,play,role,FMC officials long have complained that government officials in those countries play an aggressive role in marketing their industries ' war machinery .,play,1
division,examined,trading,They said the agency 's enforcement division examined suspicious trading with total potential profit of more than $ 1 million in the May 1986 takeover of Sperry by Burroughs .,examine,0
people,kicking,tires,"Mr. Ketelsen said yesterday that said their interest is greater than the company expected , but that `` we may have people kicking tires . ''",kick,0
residents,absorbed,wontons,"In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with `` foreign '' people and exotic merchandise , Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag .",absorb,1
campaigns,striking,chord,"The fast-paced , slapstick nature of the commercials for Goodyear 's automotive service centers contrasts sharply with previous campaigns that subtly stressed the safety of Goodyear tires while also striking an emotional chord with viewers .",strike,0
output,escaping,quotas,"Among the problems that can be addressed , and perhaps resolved , at the joint session is the output currently escaping OPEC 's quotas .",escape,0
campaign,attacking,system,"Outraged at the sentence , the black community mounted an international campaign attacking the country 's legal system .",attack,0
which,target,buyers,"There 's also New Media Network , which plans to target videocassette buyers instead of renters .",target,0
cahouet,filled,spot,"Since then , Mr. Cahouet has filled nearly every major spot in Mellon 's upper management with executives from New York and West Coast banking centers .",fill,0
man,dragging,cross,"In the latter instance , a man dressed as Christ and dragging a cross was in the demonstration .",drag,1
market,die,death,"`` We 're waiting for inspiration , one way or the other , '' one equity salesman said , adding that `` at the moment , there 's absolutely nothing to make the market die a death nor spur it on . ''",die,1
that,drink,brands,"Schieffelin & Somerset Co. is beginning a boldly different , big-budget advertising campaign that it hopes will persuade more baby boomers to drink its Johnnie Walker Scotch whisky brands .",drink,0
hoover,rolls,minijet,"Dave Hoover rolls his 400-pound minijet above the air-show crowd , swooping to within a dozen feet of the runway and popping his landing gear in and out .",roll,0
repair,knock,price,Mr. Hauke `` is looking for a much more costly repair that is nonstandard and would knock the price beyond the the { $ 500} limit for a buy-back . '',knock,1
someone,eat,fruits,"If someone wants to eat fruits , nuts and organically grown vegetables from the back yard every day , fine .",eat,0
gunboats,attack,ship,"-- The other day , U.S. helicopters fired on Iranian gunboats that were preparing to attack a Panamanian ship near Farsi Island .",attack,0
it,examine,request,"Thomas V. Chema , chairman of the utilities commission said it will examine the utilities ' request , especially trying to determine why an accounting change permitted by the commission did n't meet the utilities ' concerns about possible default .",examine,1
she,kick,wife,"`` Next time , '' she says , she will kick him and his wife out .",kick,1
foreigners,lend,us,So the same Congress that runs a budget deficit so that foreigners have to lend us money wants to make it more difficult for foreigners to lend us money .,lend,0
pursuit,destroys,it,"Indeed , the unrelieved pursuit of sales growth for its own sake , far from creating value , often destroys it .",destroy,0
france,escape,effects,"Both France and Italy want to escape the slow-growth effects of Bundesbank dominance of the EMS. West Germans , however , believes it is they that must adapt by showing a greater willingness to employ restrictive monetary and fiscal policies when these are needed to maintain currency stability .",escape,0
intention,examining,records,"Prompted by news reports of alleged misappropriation of funds , the SEC visited the firm 's New York headquarters last week with the intention of examining business records .",examine,0
he,grasp,essentials,"As a Journal editorial writer in the 1970s , he was among the first to grasp the essentials of supply side economics .",grasp,0
he,lent,000,"He says he lent $ 13 , 000 to Victor Cohen , a friend of Mr. Galvin 's and an Air Force assistant secretary whose phone was tapped by federal investigators .",lend,0
which,destroyed,hopes,"Astrotech went into a deep tailspin two years ago , officials say , with the explosion of the Space Shuttle Challenger , which destroyed hopes of near-term commercial space travel .",destroy,0
we,lend,him,"We lend him a stately and beautiful home and permit him to live on its topmost floor , attended by servants .",lend,0
