arg1,arg2,verb,sentence,verb_idx,label
debate,,fuel,fuel the debate on creationism,3,1
press,,gag,The press was gagged .,3,1
horse,,gallop,The horse was galloping along .,3,0
girl,,glare,The girl glared at the man who tried to make a pass at her .,3,0
moon,,glare,The moon glared back at itself from the lake's surface,3,1
sun,,glare,The sun glared down on us,3,1
firefly,,glow,The fireflies were glowing and flying about in the garden,3,0
face,,glow,Her face glowed when she came out of the sauna,3,1
coal,,glow,The coals were glowing in the dark,3,0
heart,,glow,Make the people's hearts glow,3,1
passenger,,grab,The passenger grabbed for the oxygen mask,3,0
hand,,grab,She grabbed the child's hand and ran out of the room,3,0
story,,grab,This story will grab you,3,1
conversation,,gravitate,The conversation gravitated towards politics,3,1
boy,,gravitate,Boys gravitate towards girls at that age,3,1
star,,gravitate,The stars gravitate towards each other,3,0
spice,,grind,grind the spices in a mortar,3,0
mind,,grope,His mind groped to make the connection,3,1
woman,,grope,He made some sexual advances at the woman in his office and groped her repeatedly,3,0
man,,guard,There will be men guarding the horses.,3,0
possession,,guard,Please guard my possessions while I'm away.,3,0
vaccine,,guard,This vaccine will guard you against infection.,3,1
lava,,gutter,The cooling lava continued to gutter toward lower ground.,3,0
tear,,gutter,Tears guttered down her face.,3,1
rain,,gutter,The heavy rain guttered the soil.,3,0
building,,gutter,The roofer began to gutter the buildings.,3,0
color,,harmonize,The colors don't harmonize,3,1
goal,,harmonize,harmonize one's goals with one's abilities,3,1
work,,heap,He heaped him with work,3,1
firewood,,heap,heap firewood around the fireplace,3,0
platter,,heap,heap the platter with potatoes,3,0
boar,,hunt,Goering often hunted wild boars in Poland,3,0
immigrant,,hunt,They hunted the unwanted immigrants out of the neighborhood,3,1
oscillator,,hunt,The oscillator hunts about the correct frequency,3,1
back,,hurt,This exercise will hurt your back,3,0
business,,hurt,Our business was hurt by the new competition,3,1
heat,,ignite,Great heat can ignite almost any dry matter,3,0
gas,,ignite,Marsh gases ignited suddenly,3,0
hatred,,ignite,The ostentatious way of living of the rich ignites the hatred of the poor,3,1
plant,,immigrate,only few plants can immigrate to the island,3,1
people,,immigrate,Many people immigrated at the beginning of the 20th century,3,0
head,,incline,She inclined her head to the student,3,0
language,,incline,Their language inclines us to believe them,3,1
child,,infect,Your children have infected you with this head cold,3,0
society,,infect,society was infected by racism,3,1
laughter,,infect,His laughter infects everyone who is in the same room,3,1
charge,,inflate,The charges were inflated,3,1
economy,,inflate,The war inflated the economy,3,1
currency,,inflate,inflate the currency,3,1
castle,,inherit,I inherited a castle from my French grandparents,3,0
problem,,inherit,The new chairman inherited many problems from the previous chair,3,1
eyesight,,inherit,I inherited my good eyesight from my mother,3,0
glucose,,inject,We injected the glucose into the patient's vein,3,0
life,,inject,He injected new life into the performance,3,1
hydrogen,,inject,inject hydrogen into the balloon,3,0
program,,interrupt,We interrupt the program for the following messages,3,0
pregnancy,,interrupt,She interrupted her pregnancy,3,1
poland,,invade,"Hitler invaded Poland on September 1 , 1939",3,0
colleague,,invade,This new colleague invades my territory,3,1
lungs,,invade,The cancer had invaded her lungs,3,1
pedal,,jam,The driver jammed the brake pedal to the floor,3,0
mechanism,,jam,the mechanism jammed,3,0
account,,juggle,juggle an account so as to hide a deficit,3,1
job,,juggle,She had to juggle her job and her children,3,1
ball,,juggle,the player juggled the ball,3,0
action,,key,key one's actions to the voters' prevailing attitude,3,1
dog,,kick,The boy kicked the dog.,3,0
gun,,kick,The gun kicked back into my shoulder.,3,0
check,,kite,He kited many checks,3,1
dollar,,kite,The businessman kited millions of dollars,3,1
pilot,,kite,The pilot kited for a long time over the mountains,3,0
bird,,land,The bird landed on the highest branch,3,0
airplane,,land,the pilot managed to land the airplane safely,3,0
jail,,land,this may land you in jail,3,1
smuggler,,land,The drug smugglers landed the heroin on the beach of the island,3,0
blow,,land,He landed several blows on his opponent's head,3,1
ship,,land,The ship landed in Pearl Harbor,3,0
book,,lay,lay the books on the table,3,0
foundation,,lay,lay the foundation for a new health care plan,3,1
responsibility,,lay,lay a responsibility on someone,3,1
news,,leak,The news were leaked to the paper,3,1
water,,leak,Water leaked out of the can into the backpack,3,0
container,,leak,The container leaked gasoline,3,0
rifle,,lean,He leaned his rifle against the wall,3,0
car,,lend,I will lend you my car,3,0
story,,lend,This story would lend itself well to serialization on television,3,1
criticism,,level,level criticism or charges at somebody,3,1
building,,level,The building was levelled,3,0
ground,,level,The ground levelled off,3,0
fate,,lie,The fate of Bosnia lies in the hands of the West.,3,1
conversation,,lighten,the conversation lightened me up a bit,3,1
load,,lighten,she lightened the load on the tired donkey,3,0
room,,lighten,The room lightened up,3,0
tree,,line,trees line the riverbank,3,1
sorrow,,line,sorrow had lined his face,3,1
book,,line,lined books are more enduring,3,0
truck,,load,load the truck with hay,3,0
gun,,load,He loaded his gun carefully,3,0
bag,,load,load the bags onto the trucks,3,0
bike,,lock,Lock the bike to the fence !,3,0
knee,,lock,The therapist noticed that the patient's knees tended to lock in this exercise.,3,0
hand,,lock,He locked his hands around her neck.,3,1
laughing,,lock,He was locked in a laughing fit.,3,1
jewel,,lock,She locked her jewels in the safe.,3,0
bicycle,,loop,The bicycle looped around the tree.,3,1
plane,,loop,The stunt pilot looped his plane.,3,0
surface,,map,map the surface of Venus,3,0
galaxy,,map,We haven't even begun to map the many galaxies that we know exist,3,0
sorrow,,map,sorrow was mapped on the mother's face,3,1
prisoner,,march,The Japanese marched their prisoners through Manchuria,3,0
contribution,,match,The company matched the employees' contributions.,3,1
dream,,match,This job doesn't match my dreams.,3,1
athlete,,match,Let them match their best athletes against ours.,3,1
piece,,match,The two pieces match.,3,0
experience,,mellow,Age and experience mellowed him over the years,3,1
apple,,mellow,These apples need to mellow a bit more,3,0
wax,,melt,The wax melted in the sun,3,0
ice,,melt,The sun melted the ice,3,0
actor,,melt,Hundreds of actors were melting into the scene,3,1
resistance,,melt,her resistance melted under his charm,3,1
furniture,,mold,The furniture molded in the old house,3,0
ball,,mold,She molded the rice balls carefully,3,0
dress,,mold,The dress molds her beautiful figure,3,1
aerator,,mount,They mounted the aerator on a floating,3,0
slide,,mount,mount slides for macroscopic analysis,3,0
campaign,,mount,mount a campaign against pornography,3,1
production,,mount,mount a theater production,3,1
husband,,nag,She nags her husband all day long,3,0
doubt,,nag,nagging concerns and doubts,3,1
security,,negociate,negociate securities,3,0
mountain,,negociate,The hiker negociated the high mountain pass,3,1
party,,negociate,The parties negociated all night,3,0
republic,,neutralize,The treaty neutralized the small republic,3,1
optimism,,neutralize,Her optimism neutralizes his gloom,3,1
solution,,neutralize,She neutralized the solution,3,0
approval,,nod,He nodded his approval,3,0
teacher,,nod,The teacher nodded when the student gave the right answer,3,0
man,,nod,The old man was nodding in his chair,3,0
flower,,nod,the flowers were nodding in the breeze,3,1
room,,paint,We painted the rooms yellow,3,0
mistress,,paint,He painted his mistress many times,3,0
heart,,palpitate,Her violent feelings palpitated the young woman's heart,3,0
sign,,paste,paste the sign on the wall,3,0
wall,,paste,paste the sign on the wall,3,0
opponent,,paste,He pasted his opponent,3,1
moon,,peep,The new moon peeped through the tree tops.,3,1
cold,,pierce,The cold pierced her bones.,3,1
scream,,pierce,The scream pierced the night.,3,1
needle,,pierce,The needle pierced her flesh.,3,0
needle,,pin,pin the needle to the shirt,3,0
bug,,ping,The bugs pinged the lamp shade,3,0
bullet,,ping,the bullet pinged when they struck the car,3,0
accountant,,ping,I'll ping my accountant--April 15 is nearing,3,1
machine,,ping,ping your machine in the office,3,0
market,,plunge,the stock market plunged,3,1
student,,plunge,The professor plunged his students into the study of the Italian text,3,1
mind,,poison,poison someone's mind,3,1
husband,,poison,She poisoned her husband,3,0
drink,,poison,Her husband poisoned her drink in order to kill her,3,0
mushroom,,poison,This mushrooms can poison,3,0
book,,portray,The book portrays the actor as a selfish person,3,1
father,,portray,The father is portrayed as a good-looking man in this painting,3,0
question,,pose,This poses an interesting question,3,1
woman,,pose,We don't know the woman who posed for Leonardo so often,3,0
knocker,,pound,the salesman pounded the door knocker,3,0
water,,pound,The locks pound the water of the canal,3,1
prisoner,,pound,The prisoners are safely pounded,3,1
water,,pour,They poured water over the floor.,3,0
water,,pour,They poured water over the floor.,3,0
people,,pour,People were pouring out of the theater.,3,1
money,,pour,We poured money into the education of our children.,3,1
crisis,,precipitate,The crisis precipitated by Russia's revolution,3,1
economy,,precipitate,Our economy precipitated into complete ruin,3,1
train,,precipitate,The bridge broke and precipitated the train into the river below,3,1
peace,,preserve,preserve the peace in the family,3,1
forest,,preserve,preserve the forest and the lakes,3,0
finger,,prick,The nurse pricked my finger to get a small blood sample,3,0
skin,,prick,The needle pricked his skin,3,0
conscience,,prick,The thought of her unhappiness pricked his conscience,3,1
ego,,puff,The sudden fame puffed her ego,3,1
critic,,puff,The critics puffed up this Broadway production,3,1
face,,puff,Her faced puffed up from the drugs,3,0
bullet,,pump,He pumped bullets into the dummy.,3,1
athlete,,pump,The athlete pumps weights in the gym.,3,0
witness,,pump,She pumped the witnesses for information.,3,1
table,,push,He pushed the table into a corner,3,0
woman,,push,""" Now push hard "" , said the doctor to the woman",3,0
salesman,,push,The salesman is aggressively pushing the new computer model,3,1
fifty,,push,She is pushing fifty,3,1
reform,,push,The liberal party pushed for reforms,3,1
drug,,push,The guy hanging around the school is pushing drugs,3,1
crowd,,push,The crowd pushed forward,3,0
sun,,radiate,The sun radiates heat,3,0
heat,,radiate,The sun radiates heat,3,0
happiness,,radiate,She radiates happiness,3,1
police,,raid,The police raided the crack house,3,0
pirate,,raid,The pirates raided the coastal villages regularly,3,0
company,,raid,T. Boone Pickens raided many large companies,3,0
refrigerator,,raid,Our babysitter raided our refrigerator,3,1
feeling,,recapture,She could not recapture that feeling of happiness.,3,1
idea,,recapture,The author recaptures an old idea here.,3,1
fort,,recapture,The military forces managed to recapture the fort.,3,0
prisoner,,recapture,They tried to recapture the escaped prisoner.,3,0
bell,,recast,The bell cracked and had to be recast.,3,0
image,,recast,She had to recast her image to please the electorate in her home state.,3,1
fame,,redound,Fame redounds to the heroes.,3,1
effort,,redound,Her efforts will redound to the general good.,3,1
belief,,reflect,This action reflects his true beliefs,3,1
sound,,reflect,Sound is reflected well in this auditorium,3,0
road,,reflect,Drive carefully--the wet road reflects,3,0
image,,reflect,her sunglasses reflected his image,3,0
interest,,reflect,His lack of interest in the project reflects badly on him,3,1
mess,,reflect,The mess in his dorm room reflects on the student,3,1
system,,reform,reform a political system,3,0
tension,,relax,relax the tension on the rope,3,0
bath,,relax,A hot bath always relaxes me,3,0
colleague,,relax,our new colleague relaxed when he saw that we were a friendly group,3,0
government,,relax,The government relaxed the curfew after most of the rebels were caught,3,1
rule,,relax,The rules relaxed after the new director arrived,3,1
suffering,,repair,One can never fully repair the suffering and losses of the Jews in the Third Reich,3,1
man,,revive,The doctors revived the comatose man,3,0
soup,,revive,A hot soup will revive me,3,1
interest,,revive,Interest in ESP revived,3,1
style,,revive,He revived this style of opera,3,1
curtain,,rip,The curtain ripped from top to bottom.,3,0
tornado,,rip,The tornado ripped along the coast.,3,1
candidate,,rip,The candidate ripped into his opponent mercilessly.,3,1
plant,,root,this plant roots quickly,3,0
problem,,root,The problem roots in her depression,3,1
pig,,root,the pig was rooting for truffles,3,0
soprano,,rotate,We rotate the lead soprano every night,3,1
intern,,rotate,Interns have to rotate for a few months,3,1
crop,,rotate,We rotate the crops so as to maximize the use of the soil,3,1
composure,,ruffle,She wanted to ruffle his composure.,3,1
people,,ruffle,This play is going to ruffle some people.,3,1
feather,,ruffle,The bird ruffled its feathers.,3,0
surface,,ruffle,The wind ruffled the surface of the water.,3,0
fabric,,ruffle,The seamstress ruffled the curtain fabric.,3,0
car,,ruin,You have ruined my car by pouring sugar in the tank !,3,0
chance,,ruin,This behavior will ruin your chances of winning the election,3,1
field,,salt,the rebels had salted the fields with mines and traps,3,1
lecture,,salt,She salts her lectures with jokes,3,1
meat,,salt,people used to salt meats on ships,3,0
courage,,salute,I salute your courage !,3,1
stench,,salute,a terrible stench saluted our nostrils,3,1
soldier,,salute,"When the officers show up , the soldiers have to salute",3,0
X-ray,,scan,the surgeon scanned the X-ray,3,0
headline,,scan,She scanned the newspaper headlines while waiting for the taxi,3,1
sky,,scan,The beams scanned the night sky,3,1
heat,,scorch,The heat scorched the countryside.,3,1
forest,,scorch,The wildfire scorched the forest and several homes.,3,0
cat,,scrape,The cat scraped at the armchair,3,0
letter,,scrape,They scraped a letter into the stone,3,0
money,,scrape,She had scraped together enough money for college,3,1
money,,seize,The sales clerk quickly seized the money on the counter,3,0
invader,,seize,the invaders seized the land and property of the inhabitants,3,0
fear,,seize,Fear seized the prisoners,3,1
book,,sell,These books sell like hot cakes.,3,0
image,,sell,The French try to sell us their image as great lovers.,3,1
shoe,,sell,The brothers sell shoes.,3,0
hope,,shake,The bad news shook her hopes.,3,1
salt,,shake,Shake the salt out of the salt shaker.,3,0
argument,,sharpen,We had to sharpen our arguments,3,1
debate,,sharpen,The debate sharpened,3,1
vision,,sharpen,This drug will sharpen your vision,3,1
image,,shed,He shed his image as a pushy boss.,3,1
tear,,shed,She shed a lot of tears when this happened.,3,0
dog,,shed,Our dog sheds every Spring.,3,0
career,,shipwreck,You have shipwrecked my career.,3,1
vessel,,shipwreck,The vessel was shipwrecked.,3,0
praise,,shower,He was showered with praise,3,1
meteor,,shower,Meteors showered down over half of Australia,3,0
present,,shower,He showered her with presents,3,1
soldier,,sift,The soldiers sifted through the woods.,3,1
information,,sift,He sifted the information.,3,1
candidate,,sift,They sifted through the job candidates.,3,1
nightingale,,sing,The nightingale was singing,3,0
kettle,,sing,the kettle was singing,3,1
court,,sit,When does the court of law sit ?,3,1
house,,sit,The White House sits on Pennsylvania Avenue,3,1
car,,smash,She smashed her car against the guard rail,3,0
motorcycle,,smash,The motorcycle smashed into the guard rail,3,0
ring,,smash,The police smashed the drug ring after they were tipped off,3,1
meat,,smother,smother the meat in gravy,3,0
cream,,smother,the butter cream smothered the cake,3,1
disapproval,,snort,she snorted her disapproval of the proposed bridegroom,3,1
critic,,snort,The critic snorted contemptuously,3,1
cocaine,,snort,The addict was snorting cocaine almost every day,3,0
seed,,sow,She sowed sunflower seeds,3,0
suspicion,,sow,sow suspicion or beliefs,3,1
ground,,sow,sow the ground with sunflower seeds,3,0
word,,spell,How do you spell this word ?,3,0
trouble,,spell,I'm afraid this spells trouble !,3,1
husband,,spell,She spelled her husband at the wheel,3,1
worker,,spell,the workers spell every four hours,3,1
water,,splash,She splashed the water around her.,3,0
water,,splash,She splashed the water around her.,3,0
mountain,,splash,The mountain was splashed with snow.,3,1
tablecloth,,spot,The wine spotted the tablecloth,3,0
dress,,spot,This dress spots quickly,3,0
area,,spot,spot the areas that one should clearly identify,3,0
water,,spray,Water sprayed all over the floor,3,0
water,,spray,spray water on someone,3,0
wall,,spray,spray the wall with paint,3,0
language,,spread,The invaders spread their language all over the country,3,1
cheese,,spread,spread cheese on a piece of bread,3,0
infection,,spread,the infection spread,3,0
oil,,spread,A big oil spot spread across the water,3,0
wood,,square,square the wood with a file,3,0
shoulder,,square,He squared his shoulders,3,1
idea,,square,one idea squares with the other one,3,1
man,,stagger,The drunken man staggered into the room.,3,0
chair,,stagger,The architect decided to stagger the chairs in the lecture hall.,3,0
bill,,stagger,She was staggered with bills after she tried to rebuild her house following the earthquake.,3,1
industry,,stagnate,Industry will stagnate if we do not stimulate our economy,3,1
water,,stagnate,There are marshes that stagnate the waters,3,0
blood,,stagnate,blood stagnates in the capillaries,3,0
name,,stamp,a man whose name is permanently stamped on our maps,3,1
letter,,stamp,Are the letters properly stamped ?,3,0
animal,,stampede,Thunderbolts can stampede animals,3,0
company,,stampede,Companies will now stampede to release their latest software,3,1
ship,,steam,The ship steamed off into the Pacific,3,0
indifference,,steam,her indifference to his amorous advances really steamed the young man,3,1
vegetable,,steam,just steam the vegetables,3,0
bill,,steamroller,The Senator steamrollered the bill to defeat,3,1
teacher,,steamroller,The new teacher tends to steamroller,3,1
road,,steamroller,steamroller the road,3,0
opposition,,steamroller,steamroller the opposition,3,1
mane,,stream,their manes streamed like stiff black pennants in the wind,3,1
sweat,,stream,She was streaming with sweat,3,1
tear,,stream,Tears streamed down her face,3,0
nose,,stuff,My nose is all stuffed,3,0
dinner,,stuff,She stuffed herself at the dinner,3,1
pillow,,stuff,stuff a pillow with feathers,3,0
turkey,,stuff,Have you stuffed the turkey yet ?,3,0
poison,,suck,suck the poison from the place where the snake bit,3,0
worker,,suck,The current boom in the economy sucked many workers in from abroad,3,1
country,,swallow,The Nazis swallowed the Baltic countries,3,1
wave,,swallow,The huge waves swallowed the small boat and it sank shortly thereafter,3,1
word,,swallow,She swallowed the last words of her speech,3,1
word,,swallow,He swallowed his words,3,1
anger,,swallow,I swallowed my anger and kept quiet,3,1
story,,swallow,Am I supposed to swallow that story ?,3,1
music,,swell,The music swelled to a crescendo,3,1
mother,,swell,The mother was swelling with importance when she spoke of her son,3,1
belly,,swell,The bellies of the starving children are swelling,3,0
wood,,swell,The water swells the wood,3,0
brain,,swim,my brain is swimming after the bottle of champagne,3,1
meat,,swim,the meat was swimming in a fatty gravy,3,1
